id,english,thai,context,all_ids
42750,EVENT CUE ITEM,รายการคิวเหตุการณ์,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42750
42751,Event Cue HelpText,ข้อความช่วยเหลือคิวเหตุการณ์,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42751
42752,This is the help text for an event that has occurred!  Left-click to move to the location of the event.  Right-click to dismiss this icon.,นี่คือข้อความช่วยเหลือสำหรับเหตุการณ์ที่เกิดขึ้น! คลิกซ้ายเพื่อไปยังตำแหน่งที่เกิดเหตุการณ์ คลิกขวาเพื่อปิดไอคอนนี้,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42752
42755,Building Complete: %1NAME%,อาคารเสร็จสมบูรณ์: %1NAME%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42755
42758,Squad Complete: %1NAME%,สร้างหน่วยเสร็จสิ้น: %1NAME%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42758
42761,Under Attack!,กำลังถูกโจมตี!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42761|146700|146718|158654|158655|2146718|2158654|2158655
42762,%1PLAYER% is being Attacked.,%1PLAYER% กำลังถูกโจมตี,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42762
42764,Upgrade Complete: %1NAME%,อัปเกรดเสร็จสมบูรณ์: %1NAME%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42764
42766,Incoming Enemy!,ศัตรูกำลังเข้ามา!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42766
42767,Enemy have breached the front lines.,ศัตรูเจาะแนวรบแนวหน้าเข้ามาแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42767
42769,Infopoint activated!,เปิดใช้งานจุดข้อมูลแล้ว!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42769
42770,An information point has been activated.,เปิดใช้งานจุดข้อมูลแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42770
42771,Crossing into Enemy Territory!,ข้ามเข้าสู่ดินแดนศัตรู!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42771
42772,You are in Enemy Territory.,คุณอยู่ในดินแดนศัตรู,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42772
42774,Ability executed: %1ABILITY%,ใช้งานความสามารถ: %1ABILITY%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42774
42777,Unit Sniped!,หน่วยรบถูกสไนเปอร์ยิง!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42777
42778,A Unit has been killed by a Sniper.,หน่วยรบถูกสไนเปอร์สังหาร,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42778
42780,%1POINT% is being captured by the enemy!,%1POINT% กำลังถูกศัตรูยึดครอง!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42780
42783,Tactical Briefing Available,มีข้อมูลสรุปแผนยุทธวิธี,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42783
42784,Click to view Tactical Briefing,คลิกเพื่อดูสรุปแผนยุทธวิธี,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42784
42786,%1ALLY% under attack!,%1ALLY% ถูกโจมตี!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42786
42787,%1ALLY% is being attacked.,%1ALLY% กำลังถูกโจมตี,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42787
42789,%1PLAYER% has begun phase %2PHASE%,%1PLAYER% ได้เริ่มระยะ %2PHASE% แล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42789
42792,You have captured %1Point%,คุณยึด %1Point% ได้แล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42792
42795,%1RESOURCE% point has been depleted,จุดทรัพยากร %1RESOURCE% หมดลงแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42795
42798,Mine Detected!,ตรวจพบทุ่นระเบิด!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42798
42799,Bridge breached!,สะพานแตก!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42799
42800,1 minute remaining,เหลือเวลาอีก 1 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42800
42801,2 minutes remaining,เหลือเวลาอีก 2 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42801
42802,3 minutes remaining,เหลือเวลาอีก 3 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42802
42803,5 minutes remaining,เหลือเวลาอีก 5 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42803
42804,10 minutes remaining,เหลือเวลาอีก 10 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42804
42805,15 minutes remaining,เหลือเวลาอีก 15 นาที,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42805|369054
42806,PAK 38 Firing,ปืน PaK 38 กำลังยิง,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42806
42807,Counter Attack,การตีโต้ตอบ,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42807
42808,Enemy Flanking,ศัตรูกำลังตีโอบ,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42808
42809,Tiger Incoming,รถถังไทเกอร์กำลังมา!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42809
42810,Church Lost,เสียโบสถ์แล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42810|249060|249103
42811,TownHall Lost,เสียศาลาว่าการเมืองแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42811
42812,Troops Surrendered,กองกำลังยอมจำนน,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42812
42813,Reinforcements have arrived!,กำลังเสริมมาแล้ว!,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42813|279257|1339170|1389173|1469553
42887,*** %1ARMYTYPENAME% player: %2EVENTINFO%,*** %1ARMYTYPENAME% ผู้เล่น: %2EVENTINFO%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,42887
43000,Not enough Manpower.  You need %1AMOUNT%.,กำลังคนไม่เพียงพอ คุณต้องการ %1AMOUNT%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43000
43001,Not enough Fuel.  You need %1AMOUNT%.,เชื้อเพลิงไม่เพียงพอ คุณต้องการ %1AMOUNT%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43001
43002,Not enough Munition.  You need %1AMOUNT%.,ยุทโธปกรณ์ไม่เพียงพอ คุณต้องการ %1AMOUNT%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43002
43003,Not enough Combat points.  You need %1AMOUNT%.,คะแนนการต่อสู้ไม่เพียงพอ คุณต้องการ %1AMOUNT%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43003
43005,Production queue is full.,คิวการผลิตเต็มแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43005
43015,Cannot unload at that location.,ไม่สามารถปล่อยกำลังพลลงที่ตำแหน่งนั้นได้,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43015
43024,Cannot Build at that location.,ไม่สามารถสร้างที่ตำแหน่งนั้นได้,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43024
43025,Must Build within Secure radius.,ต้องสร้างภายในรัศมีที่ปลอดภัย,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43025
43026,Must Build within Territory.,ต้องสร้างภายในอาณาเขต,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43026
43027,Must Build within connected Territory.,ต้องสร้างภายในอาณาเขตที่เชื่อมต่อ,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43027
43028,Cannot Build while location is under being taken,ไม่สามารถสร้างได้ขณะที่พื้นที่กำลังถูกยึด,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43028
43029,Must Build within command Territory.,ต้องสร้างภายในอาณาเขตบัญชาการ,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43029
43030,Invalid ability target.,เป้าหมายความสามารถไม่ถูกต้อง,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43030
43050,Population cap reached. Capture more Territory Sectors to increase Population,ถึงจำนวนประชากรสูงสุดแล้ว ยึดครองอาณาเขตเพิ่มเติมเพื่อเพิ่มจำนวนประชากร,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43050
43051,Vehicle cap reached,ถึงขีดจำกัดของยานพาหนะแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43051
43052,Medic population cap reached,ถึงขีดจำกัดจำนวนแพทย์สนามแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43052
43053,Availability cap reached,ถึงขีดจำกัดความพร้อมใช้งานแล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43053
43054,Hero cap reached,ถึงขีดจำกัดฮีโร่แล้ว,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43054
43099,An unhandled error has occurred.,เกิดข้อผิดพลาดที่ไม่สามารถจัดการได้,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43099
43100,Left-click to build the Structure at that location.,คลิกซ้ายเพื่อสร้างสิ่งปลูกสร้างที่ตำแหน่งนั้น,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43100
43200,%1POINTS%,%1POINTS%,UI: เลือกโหมด/ตั้งเกม/อีเวนต์คิว,43200
