id,english,thai,context,all_ids
270010,Stand by for launch...,เตรียมพร้อมสำหรับการปล่อยจรวด...,บทพูด/ภารกิจ M07 จรวด V2,270010
270020,"three, two, one...",สาม สอง หนึ่ง...,บทพูด/ภารกิจ M07 จรวด V2,270020
270030,FIRE!,ยิง!,บทพูด/ภารกิจ M07 จรวด V2,270030
270170,Guard tower neutralized.,ทำลายป้อมยามสำเร็จแล้ว,บทพูด/ภารกิจ M07 จรวด V2,270170|271700
270175,Okay. Kraut tower is down. ,โอเค ป้อมยามพวกเยอรมันพังแล้ว,บทพูด/ภารกิจ M07 จรวด V2,270175|271740
270180,Tower destroyed.,ป้อมยามถูกทำลายแล้ว,บทพูด/ภารกิจ M07 จรวด V2,270180|271710
270185,Great stuff. Won't be no Germans crawling outta there,ยอดเยี่ยม จะไม่มีพวกเยอรมันรอดคลานออกมาจากตรงนั้นได้อีก,บทพูด/ภารกิจ M07 จรวด V2,270185|271730
270190,Nothin’ left of that tower.  Nice job.,ป้อมนั่นไม่เหลือซากแล้ว ทำได้ดีมาก,บทพูด/ภารกิจ M07 จรวด V2,270190|271720
270390,RUN!,วิ่ง!,บทพูด/ภารกิจ M07 จรวด V2,270390
270400,the whole place is going to blow!,ที่นี่กำลังจะระเบิดเป็นุณผุยผงแล้ว!,บทพูด/ภารกิจ M07 จรวด V2,270400
270420,It was disturbing to see how far advanced the Nazi war machine had come.,น่าตกใจที่ได้เห็นว่าเขี้ยวเล็บสงครามของพวกนาซีก้าวหน้าไปไกลถึงเพียงนี้,บทพูด/ภารกิจ M07 จรวด V2,270420
270430,"Smart as our guys were, we had nothing like this...",ต่อให้คนของเราฉลาดแค่ไหน เราก็ไม่มีอะไรที่ล้ำหน้าแบบนี้...,บทพูด/ภารกิจ M07 จรวด V2,270430
270440,With Cherbourg secured Supreme Allied Command has identified our next priority: the crossroad town of Saint Lo.,เมื่อยึดเมืองเชอร์บูร์กได้แล้ว กองบัญชาการสูงสุดฝ่ายสัมพันธมิตรได้กำหนดเป้าหมายสำคัญลำดับถัดไป: ชุมทางเมืองแซงต์โล,บทพูด/ภารกิจ M07 จรวด V2,270440
270450,Now the only place we can cross the river Vire is right here:,และจุดเดียวที่เราสามารถข้ามแม่น้ำวีร์ ได้ก็คือตรงนี้:,บทพูด/ภารกิจ M07 จรวด V2,270450
270460,"Unfortunately, we have very limited intelligence on this area...",น่าเสียดายที่เรามีข้อมูลข่าวกรองเกี่ยวกับพื้นที่นี้น้อยมาก...,บทพูด/ภารกิจ M07 จรวด V2,270460
270461,Able Company will move in after dawn.,กองร้อยเอเบิล จะเคลื่อนพลเข้าไปหลังรุ่งสาง,บทพูด/ภารกิจ M07 จรวด V2,270461
270500,Our main target is the V2 launch platform located here. ,เป้าหมายหลักของเราคือฐานปล่อยจรวด V2 ซึ่งตั้งอยู่ที่นี่,บทพูด/ภารกิจ M07 จรวด V2,270500
270510,Planting demolition charges will create a chain reaction destroying the base.,การติดตั้งดินระเบิดทำลายล้างจะก่อให้เกิดระเบิดต่อเนื่องทำลายล้างฐานนี้ทั้งหมด,บทพูด/ภารกิจ M07 จรวด V2,270510
270520,The base is protected by Anti Aircraft guns. These limit where we can drop our paratroopers. ,ฐานนี้มีปืนต่อสู้อากาศยานคอยคุ้มกัน ซึ่งจำกัดจุดทิ้งร่มของพลร่มเรา,บทพูด/ภารกิจ M07 จรวด V2,270520
270530,Take out those guns quickly to open up our dropzones. ,รีบทำลายปืน ปตอ. พวกนั้นให้เร็วเพื่อเปิดเขตทิ้งร่มของเรา,บทพูด/ภารกิจ M07 จรวด V2,270530
270540,"To ensure our supply lines, we'll need a secondary attack here, at the main entrance. ",เพื่อคุ้มกันสายส่งกำลังบำรุง เราต้องเปิดการเข้าตีรองที่นี่ ตรงประตูทางเข้าหลัก,บทพูด/ภารกิจ M07 จรวด V2,270540
270550,Understand: we will have no base of operations.  ,เข้าใจตรงกันนะ: เราจะไม่มีฐานปฏิบัติการที่นี่,บทพูด/ภารกิจ M07 จรวด V2,270550
270560,This means we need to raid enemy depots to capture heavy weapons.,นั่นหมายความว่าเราต้องบุกตีคลังแสงข้าศึกเพื่อยึดอาวุธหนักมาใช้,บทพูด/ภารกิจ M07 จรวด V2,270560
270570,Let's get to it.,มาเริ่มกันเลย,บทพูด/ภารกิจ M07 จรวด V2,270570
270710,"If we can hold the entrance, we can establish a supply line.",ถ้าเรายึดประตูทางเข้าไว้ได้ เราจะสามารถตั้งเส้นทางส่งกำลังบำรุงได้,บทพูด/ภารกิจ M07 จรวด V2,270710
270720,"The longer we keep that supply line open, the more time we give Able Company to send in reinforcements.",ยิ่งเราเปิดเส้นทางส่งกำลังบำรุงไว้นานเท่าใด เราก็ยิ่งเปิดโอกาสให้กองร้อยเอเบิล ส่งกำลังเสริมเข้ามาได้มากเท่านั้น,บทพูด/ภารกิจ M07 จรวด V2,270720
270730,"Now move in, and capture that strategic point.",ตอนนี้เคลื่อนพลเข้าไป แล้วยึดจุดยุทธศาสตร์นั้นซะ,บทพูด/ภารกิจ M07 จรวด V2,270730
271030,Target of opportunity.  Destroy those oxygen tanks!,เป้าหมายเสริม ทำลายถังออกซิเจนพวกนั้นซะ!,บทพูด/ภารกิจ M07 จรวด V2,271030
271100,MG42 in the guard tower!,มีปืนกล MG42 บนป้อมยาม!,บทพูด/ภารกิจ M07 จรวด V2,271100
271110,We're dead if we don't flank 'em.,ถ้าเราไม่เข้าตีโอบพวกมัน เราตายแน่,บทพูด/ภารกิจ M07 จรวด V2,271110
271120,Goddammit! Get a satchel charge or a recoilless rifle to punch a hole in the wall!,บัดซบเอ๊ย! ใช้ระเบิดแรงสูงหรือปืนไรเฟิลไร้แรงสะท้อนถอยหลังระเบิดเจาะกำแพงเร็ว!,บทพูด/ภารกิจ M07 จรวด V2,271120
271130,The wall has been breached!  Move in! ,กำแพงถูกระเบิดเปิดทางแล้ว! บุกเข้าไป!,บทพูด/ภารกิจ M07 จรวด V2,271130
271140,Leave some squads at the main gate to keep the krauts busy.,วางกำลังบางหมู่ไว้ที่ประตูหลักเพื่อตรึงพวกเยอรมันไว้,บทพูด/ภารกิจ M07 จรวด V2,271140
271142,"Base entrance is secure, supply line established",ทางเข้าฐานปลอดภัยแล้ว เส้นทางส่งกำลังบำรุงเปิดใช้งานแล้ว,บทพูด/ภารกิจ M07 จรวด V2,271142
271144,"Good job troops, now let's stop those V2's.",ทำได้ดีมากทุกคน คราวนี้ไปหยุดยั้งจรวด V2 พวกนั้นกัน,บทพูด/ภารกิจ M07 จรวด V2,271144
271160,"First squad, target that Anti-aircraft gun!  We can use it to hold the entrance.",หมู่หนึ่ง จัดการปืนต่อสู้อากาศยานนั่น! เราสามารถใช้มันป้องกันทางเข้าได้,บทพูด/ภารกิจ M07 จรวด V2,271160
271200,We must hold the strategic point at the front gates.,เราต้องรักษาจุดยุทธศาสตร์ที่ประตูหน้าไว้ให้ได้,บทพูด/ภารกิจ M07 จรวด V2,271200
271205,Do not let the Germans re-capture it.,อย่าให้พวกเยอรมันยึดมันกลับไปได้เด็ดขาด,บทพูด/ภารกิจ M07 จรวด V2,271205
271210,Able Company is sending reinforcements.  We must keep the supply lines open,กองร้อยเอเบิล กำลังส่งกำลังเสริมมา เราต้องรักษาเส้นทางส่งกำลังบำรุงไว้,บทพูด/ภารกิจ M07 จรวด V2,271210
271230,Lead elements of Able Company on the ground.  Awaiting orders.,กองกำลังส่วนหน้าของกองร้อยเอเบิล ถึงพื้นที่แล้ว กำลังรอคำสั่ง,บทพูด/ภารกิจ M07 จรวด V2,271230
271232,We lost the entrance!  Re-capture that strategic point!,เราเสียทางเข้าแล้ว! ไปยึดจุดยุทธศาสตร์นั้นคืนมา!,บทพูด/ภารกิจ M07 จรวด V2,271232
271233,Our supply lines are cut off!,เส้นทางส่งกำลังบำรุงของเราถูกตัดขาดแล้ว!,บทพูด/ภารกิจ M07 จรวด V2,271233
271234,Entrance secured.,ยึดทางเข้าได้แล้ว,บทพูด/ภารกิจ M07 จรวด V2,271234
271250,Only one squad defending the entrance. They need backup!,มีเหลือแค่หมู่เดียวที่เฝ้าทางเข้า พวกเขาต้องการกำลังหนุนด่วน!,บทพูด/ภารกิจ M07 จรวด V2,271250
271260,All squads are down.  We have no one defending the entrance!,ทหารทุกหมู่ถูกกวาดล้างหมดแล้ว! ไม่มีใครเฝ้าทางเข้าแล้ว!,บทพูด/ภารกิจ M07 จรวด V2,271260
271270,We lost the AA gun! Take it back!,เราเสียปืน ปตอ. ไปแล้ว! ไปยึดคืนมา!,บทพูด/ภารกิจ M07 จรวด V2,271270
271280,That's all the reinforcements we can divert to this attack.  You're on your own from here on out.,นั่นคือกำลังเสริมทั้งหมดที่เราจะส่งมาสนับสนุนการโจมตีนี้ได้แล้ว จากนี้ไปพวกนายต้องพึ่งตัวเองแล้วนะ,บทพูด/ภารกิจ M07 จรวด V2,271280
271400,The Krauts are reinforcing from those guard towers,พวกเยอรมันกำลังส่งกำลังเสริมออกมาจากป้อมยามพวกนั้น,บทพูด/ภารกิจ M07 จรวด V2,271400
271540,So much for doing this quietly! Attack!,หมดเวลาลอบเร้นแล้ว! ลุยเลย!,บทพูด/ภารกิจ M07 จรวด V2,271540
271550,Enemy alerted! Got a fight on our hands!,ข้าศึกรู้ตัวแล้ว! เปิดฉากปะทะแล้ว!,บทพูด/ภารกิจ M07 จรวด V2,271550
271630,The MGs in the towers are chewing us up!,ปืนกลบนป้อมยามยิงเรายับแล้ว!,บทพูด/ภารกิจ M07 จรวด V2,271630
271640,Wire those towers and blow 'em to hell!,วางสายชนวนระเบิดป้อมพวกนั้นให้กระจุยไปเลย!,บทพูด/ภารกิจ M07 จรวด V2,271640
271650,"Satchel charge, through the window, now!",ขว้างระเบิดแรงสูงเข้าทางหน้าต่างเลย เดี๋ยวนี้!,บทพูด/ภารกิจ M07 จรวด V2,271650
271660,Allied forces near oxygen tanks.  Mobilize defenses!,กองกำลังสัมพันธมิตรอยู่ใกล้ถังออกซิเจน! ระดมกำลังตั้งรับด่วน!,บทพูด/ภารกิจ M07 จรวด V2,271660
271665,Allied forces attacking the southern barracks!,กองกำลังสัมพันธมิตรบุกโจมตีค่ายทหารทางใต้!,บทพูด/ภารกิจ M07 จรวด V2,271665
271670,Allied forces moving into the RAILYARD.  Send reinforcements!,กองกำลังสัมพันธมิตรเคลื่อนเข้าสู่ย่านสับเปลี่ยนรางรถไฟ! ส่งกำลังเสริมด่วน!,บทพูด/ภารกิจ M07 จรวด V2,271670
271675,Allied forces near the northern barracks.  Activate all garrisons!,กองกำลังสัมพันธมิตรอยู่ใกล้ค่ายทหารทางเหนือ! สั่งกำลังประจำการทั้งหมดเข้าประจำสถานีรบ!,บทพูด/ภารกิจ M07 จรวด V2,271675
271680,Allied forces near launch facility!  Mobilize all remaining troops and eliminate them!,กองกำลังสัมพันธมิตรอยู่ใกล้ฐานปล่อยจรวด! ระดมกำลังที่เหลือทั้งหมดไปกวาดล้างพวกมัน!,บทพูด/ภารกิจ M07 จรวด V2,271680
271685,Allied forces near the supply yard.  Eliminate them!,กองกำลังสัมพันธมิตรอยู่ใกล้ลานเสบียง! กำจัดพวกมันซะ!,บทพูด/ภารกิจ M07 จรวด V2,271685
271690,Allied forces in the construction yard.,กองกำลังสัมพันธมิตรบุกเข้ามาในลานก่อสร้าง,บทพูด/ภารกิจ M07 จรวด V2,271690
271695,Allied infantry approaching HQ.,ทหารราบพันธมิตรเข้าใกล้กองบัญชาการ,บทพูด/ภารกิจ M07 จรวด V2,271695
271697,Mobilize panzergroupen!,ระดมพลกลุ่มแพนเซอร์!,บทพูด/ภารกิจ M07 จรวด V2,271697
271698,The base entrance is under attack!  Mobilize all defenders!,ทางเข้าฐานถูกโจมตี! ระดมกองหลังทั้งหมด!,บทพูด/ภารกิจ M07 จรวด V2,271698
271699,Enemy armor inside the base!  Mobilize second panzergroupen!,เกราะศัตรูในฐาน! ระดมพลกลุ่มยานเกราะที่สอง!,บทพูด/ภารกิจ M07 จรวด V2,271699
271750,They're on the roof!,พวกเขาอยู่บนหลังคา!,บทพูด/ภารกิจ M07 จรวด V2,271750
271760,Enemy paratroopers!  They're everywhere!,พลร่มศัตรู! พวกเขาอยู่ทุกที่!,บทพูด/ภารกิจ M07 จรวด V2,271760
271770,They are too many!  The base defenses cannot hold out!,พวกมันเยอะเกินไป! การป้องกันฐานไม่สามารถต้านทานได้!,บทพูด/ภารกิจ M07 จรวด V2,271770
271900,The Kraut commander is coordinating base defenses from that headquarters.,ผู้บัญชาการ Kraut กำลังประสานงานการป้องกันฐานจากกองบัญชาการนั้น,บทพูด/ภารกิจ M07 จรวด V2,271900
271910,"Destroy the HQ, and eliminate the commander.",ทำลายกองบัญชาการ และกำจัดผู้บังคับบัญชา,บทพูด/ภารกิจ M07 จรวด V2,271910
271960,Axis commander eliminated.,ผู้บัญชาการฝ่ายอักษะถูกกำจัด,บทพูด/ภารกิจ M07 จรวด V2,271960
272100,"OK, you heard the Captain, we gotta take out that launch platform.",โอเค คุณได้ยินแล้วกัปตัน เราต้องเอาแท่นปล่อยยานนั้นออกไป,บทพูด/ภารกิจ M07 จรวด V2,272100
272150,Those snipers are killing our soldiers!,พวกสไนเปอร์กำลังฆ่าทหารของเรา!,บทพูด/ภารกิจ M07 จรวด V2,272150
272160,Protect our soldiers from those snipers!,ปกป้องทหารของเราจากพลซุ่มยิงเหล่านั้น!,บทพูด/ภารกิจ M07 จรวด V2,272160
272170,Take out those snipers!,เอาสไนเปอร์พวกนั้นออกไป!,บทพูด/ภารกิจ M07 จรวด V2,272170
279005,Destroy V2 Launch Assembly,ทำลายชุดเปิดตัว V2,บทพูด/ภารกิจ M07 จรวด V2,279005
279007,Wire Launch Assembly with Demolitions,วางดินระเบิดทำลายแท่นปล่อยจรวด,บทพูด/ภารกิจ M07 จรวด V2,279007
279030,Use Paratroops to wire the V2 Rocket Launchpad with demolitions. This will create a chain reaction that will destroy the launch facility.,สั่งให้ทหารพลร่มวางดินระเบิดทำลายล้างที่ฐานปล่อยจรวด V2 ซึ่งจะก่อให้เกิดระเบิดต่อเนื่องทำลายล้างฐานยิงทั้งหมด,บทพูด/ภารกิจ M07 จรวด V2,279030
279100,Destroy Oxygen Tanks,ทำลายถังออกซิเจนเหลว,บทพูด/ภารกิจ M07 จรวด V2,279100
279102,Oxygen Tanks,ถังอ๊อกซิเจน,บทพูด/ภารกิจ M07 จรวด V2,279102
279103,Wire Oxygen Tanks with Demolitions,วางดินระเบิดที่ถังออกซิเจน,บทพูด/ภารกิจ M07 จรวด V2,279103
