id,english,thai,context,all_ids
1309000,Liberation of Caen,การปลดปล่อยแห่งก็อง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309000
1309001,Authie: Boudica's Boys,ออธี: กองกำลังบูดิกา,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309001
1309002,CAEN1_,CAEN1_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309002
1309003,"Operation Overlord. June 7th, 1944. British 2nd Army’s D-Day objective was to take Caen, they are a day behind schedule. 3rd Battalion must secure Authie and establish a base of operations from which to assault Caen.",ปฏิบัติการโอเวอร์ลอร์ด. 7 มิถุนายน 1944 วัตถุประสงค์ดีเดย์ของกองทัพที่ 2 ของอังกฤษคือการยึดเมืองก็อง ซึ่งช้ากว่ากำหนดหนึ่งวัน กองพันที่ 3 ต้องรักษาความปลอดภัยของ ออธี และสร้างฐานปฏิบัติการเพื่อโจมตีก็อง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309003
1309004,Hill 112,ฮิลล์ 112,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309004
1309005,CAEN2_,CAEN2_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309005
1309006,Operation Epsom. The Germans have blunted 2nd Army’s frontal assault of Caen. The next plan is to outflank Caen from the west and surround its defenders. 3rd Battalion’s orders are to secure Hill 112 that overlooks the western approaches to Caen.,ปฏิบัติการ Epsom ฝ่ายเยอรมันสามารถโจมตีก็องในแนวหน้าของกองทัพที่ 2 ได้ แผนต่อไปคือการรุกขนาบก็องจากทางตะวันตกและล้อมแนวป้องกัน คำสั่งของกองพันที่ 3 คือให้ยึดเนินเขา 112 ที่มองเห็นทางตะวันตกไปยังเมืองก็อง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309006
1309007,Carpiquet,กักปิเกต์,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309007
1309008,CAEN3_,CAEN3_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309008
1309009,Operation Windsor. Carpiquet Airfield is key to Caen’s defense. Royal Commandos from 3rd Battalion are to infiltrate and establish a frontline for a predawn attack by the Royal Canadian Rifles.   ,ปฏิบัติการวินด์เซอร์ สนามบิน Carpiquet เป็นกุญแจสำคัญในการป้องกันของก็อง หน่วยคอมมานโดหลวงจากกองพันที่ 3 จะแทรกซึมและสร้างแนวหน้าสำหรับการโจมตีล่วงหน้าโดย Royal Canadian Rifles,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309009
1309010,Carpiquet: The Airfield,Carpiquet: สนามบิน,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309010
1309011,CAEN4_,CAEN4_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309011
1309012,The Royal Commandos have established a front line; it is time for 3rd Battalion and the Royal Canadian Rifles to eliminate any remaining Axis forces and take the Airfield.,หน่วยคอมมานโดหลวงได้จัดตั้งแนวหน้า ถึงเวลาแล้วที่กองพันที่ 3 และ Royal Canadian Rifles จะต้องกำจัดกองกำลังฝ่ายอักษะที่เหลืออยู่และเข้ายึดสนามบิน,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309012
1309013,Hill 112: Saving Sanity,เนิน 112: ศึกรักษาขวัญกำลังใจ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309013
1309014,CAEN5_,CAEN5_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309014
1309015,"""He, who controls Hill 112, controls Normandy.” Contact with the Royal Scots Engineers on Hill 112 has been lost. Boudica’s Boys must return to the hill to ensure it is not recaptured.","""ผู้ที่ควบคุม Hill 112 เป็นผู้ควบคุม Normandy"" การติดต่อกับ Royal Scots Engineers บน Hill 112 หายไป กองกำลังบูดิกาต้องกลับไปที่เนินเขาเพื่อให้แน่ใจว่าจะไม่ถูกยึดคืนได้",แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309015
1309016,Caen: Into the City,ก็อง: เข้าไปในเมือง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309016
1309017,CAEN6_,CAEN6_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309017
1309018,"Operation Charnwood. The 7th of July. 500 airplanes are dropping bombs on Caen to soften the Axis defenses. After the bombardment, 3rd Battalion must move in, secure the area, and set up a base of operations from which to seize the city.",ปฏิบัติการชาร์นวูด วันที่ 7 กรกฎาคม. เครื่องบิน 500 ลำกำลังทิ้งระเบิดใส่ก็องเพื่อลดการป้องกันฝ่ายอักษะ หลังจากการทิ้งระเบิด กองพันที่ 3 จะต้องเคลื่อนเข้าไป ยึดพื้นที่ และสร้างฐานปฏิบัติการเพื่อยึดเมือง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309018
1309019,Caen: The Crucible,ก็อง: สมรภูมิตะลุมบอน,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309019
1309020,CAEN7_,CAEN7_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309020
1309021,"All major elements of the 12th SS Division have retreated from Caen. However, small pockets of opposition remain to delay Allied forces. 3rd Battalion must strike into the heart of the city and eliminate all resistance.",องค์ประกอบหลักทั้งหมดของกองพล SS ที่ 12 ได้ถอยออกจากก็องแล้ว อย่างไรก็ตาม ฝ่ายต่อต้านกลุ่มเล็กๆ ยังคงอยู่เพื่อชะลอกองกำลังพันธมิตร กองพันที่ 3 ต้องโจมตีใจกลางเมืองและกำจัดการต่อต้านทั้งหมด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309021
1309022,Caen: Storm Front,ก็อง: แนวหน้าพายุ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309022
1309023,CAEN8_,CAEN8_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309023
1309024,"Caen is in Allied hands, but night is approaching quickly. 1st SS Korps will not give up Caen without a fight. Boudica’s Boys must dig in and prepare for the inevitable counterattack.",ก็องอยู่ในมือฝ่ายสัมพันธมิตร แต่กลางคืนกำลังใกล้เข้ามาอย่างรวดเร็ว กองพลเอสเอสที่ 1 จะไม่ยอมยกเมืองก็องให้ง่าย ๆ เหล่าทหารของบูดิกา ต้องขุดหลุมตั้งรับและเตรียมพร้อมรับการตีโต้กลับที่เลี่ยงไม่ได้,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309024
1309025,Bourguébus: Marching Onward       ,Bourguébus: ก้าวไปข้างหน้า,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309025
1309026,CAEN9_,CAEN9_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309026
1309027,"Operation Goodwood. Remnants of the 1st SS Korps are regrouping south of Caen. Reinforced with extra armor, 3rd Battalion’s orders are to advance towards the Bourguébus ridge and neutralize all remaining panzer formations.",ปฏิบัติการกู๊ดวู้ด ส่วนที่เหลือของกองกำลัง SS Korps ที่ 1 กำลังรวมกลุ่มกันใหม่ทางใต้ของก็อง เสริมด้วยเกราะพิเศษ คำสั่งของกองพันที่ 3 คือให้บุกไปยังสันเขา Bourguébus และต่อต้านการก่อตัวของยานเกราะที่เหลือทั้งหมด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309027
1309030,3rd Battalion,กองพันที่ 3,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309030|1309040|1309050|1309060|1309070|1309080|1309090|1309100|1309110
1309031,12th SS Panzer Division,กองพลยานเกราะเอสเอสที่ 12,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309031|1309051|1309061|1309081
1309032,B-Coy,บี-คอย,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309032|1309082|1309092|1309102|1309112
1309041,10th SS Panzer Division,กองพลยานเกราะเอสเอสที่ 10,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309041
1309071,25th Panzer Division,กองพลยานเกราะที่ 25,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309071|1309091
1309111,1st SS Panzer Division,กองพลยานเกราะเอสเอสที่ 1,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309111
1309140,"June 7th, 1944. D-Day+1. The 2nd British Army has established a beachhead on the shores of Normandy. They have one goal: take the French city of Caen. Lead Major Blackmore’s 3rd Battalion and their British veterans through the critical operations to achieve the elusive objective. ",7 มิถุนายน 1944 ดีเดย์+1 กองทัพอังกฤษที่ 2 ได้สร้างหัวหาดบนชายฝั่งนอร์มงดีแล้ว พวกเขามีเป้าหมายเดียว: ยึดเมืองก็องของฝรั่งเศส นำกองพันที่ 3 ของพันตรีแบล็คมอร์และทหารผ่านศึกอังกฤษผ่านการปฏิบัติการที่สำคัญเพื่อบรรลุวัตถุประสงค์ที่ยากจะเข้าใจ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309140
1309141,"June 7th, 1944. D-Day+1. Lead Major Blackmore’s British 3rd Battalion through the operations to liberate the French city of Caen from Axis occupation.",7 มิถุนายน 1944 ดีเดย์+1 นำกองพันที่ 3 ของอังกฤษของ Major แบล็คมอร์ ผ่านการปฏิบัติการเพื่อปลดปล่อยเมืองก็องของฝรั่งเศสจากการยึดครองของฝ่ายอักษะ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309141
1309150,Buron - Authie Road.,บูรอน-ถ.ออธี.,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309150
1309151,"1342hrs June 7th, 1944. D-Day +1",13.42 น. 7 มิถุนายน 1944 ดีเดย์ +1,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309151
1309152,"3rd Battalion, ""Boudica's Boys""","กองพันที่ 3 ""ทหารบูดิก้า""",แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309152|1309173|1309176
1309153,"Hill 112, 1210hrs ","เนิน 112, 12.10 น",แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309153
1309154,"June 27th, Operation Epsom",27 มิถุนายน ปฏิบัติการ Epsom,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309154
1309155,"Royal Scots Engineers, 3rd Battalion.",หน่วยทหารช่างสกอตหลวง กองพันที่ 3,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309155|1309164
1309156,Carpiquet. 0300hrs ,กักปิเกต์ เวลา 03:00 น.,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309156
1309157,"July 4th, Operation Windsor",4 กรกฎาคม ปฏิบัติการวินด์เซอร์,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309157
1309158,3rd Battalion Special Operations,หน่วยปฏิบัติการพิเศษ กองพันที่ 3,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309158
1309159,Carpiquet Airfield. ,สนามบินคาร์ปิเกต์,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309159
1309160,"0530hrs July 4th, Operation Windsor",05.30 น. วันที่ 4 กรกฎาคม ปฏิบัติการวินด์เซอร์,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309160
1309161,"Royal Canadian Rifles, 3rd Battalion.",กองร้อยปืนไรเฟิลแคนาดา กองพันที่ 3,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309161
1309162,Hill 112.  ,ฮิลล์ 112.,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309162
1309163,1443hrs July 10th,เวลา 14.43 น. วันที่ 10 กรกฎาคม,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309163
1309165,Assault on Caen. ,การโจมตีเมืองก็อง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309165
1309166,"0130hrs July 18th, Operation Charnwood",01.30 น. วันที่ 18 กรกฎาคม ปฏิบัติการชาญวูด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309166
1309167,"Royal Canadian Rifles, Royal Dragoons, 3rd Battalion","Royal Canadian Rifles, Royal Dragoons, กองพันที่ 3",แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309167
1309168,Caen.,ก็อง.,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309168
1309169,"1203hrs July 18th, Operation Charnwood",12.03 น. วันที่ 18 กรกฎาคม ปฏิบัติการชาญวูด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309169
1309170,"3rd Battalion, ""Boudica's Boys"" ","กองพันที่ 3 ""ทหารบูดิก้า""",แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309170
1309171,Caen. 0106hrs ,ก็อง. 0106น,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309171
1309172,"July 19th, Charnwood",19 กรกฎาคม ชาร์นวูด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309172
1309174,Road to Bourguébus.  ,ถนนสู่Bourguébus,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309174
1309175,"1514hrs July 19th, Operation Goodwood",15.14 น. 19 กรกฎาคม ปฏิบัติการกู๊ดวูด,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309175
1309180,"Initially a D-Day objective, it took Allied forces 44 days to secure Caen.",ในตอนแรกเป้าหมายในวันดีเดย์ กองกำลังพันธมิตรใช้เวลา 44 วันในการรักษาความปลอดภัยก็อง,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309180
1309181,The British offensive provided constant pressure on the Germans to let the Americans break out of Normandy.,การรุกของอังกฤษสร้างแรงกดดันอย่างต่อเนื่องต่อชาวเยอรมันเพื่อให้ชาวอเมริกันแยกตัวออกจากนอร์มงดี,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309181
1309182,Major Blackmore retired from active service after the War.,พันตรีแบล็กมอร์เกษียณจากราชการหลังสงคราม,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309182
1309183,"He taught at the Royal Military Academy at Woolwich, until his death in 1983.",เขาสอนที่ Royal Military Academy ในเมืองวูลวิช จนกระทั่งเสียชีวิตในปี 2526,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309183
1309201,Wolfheze,วูล์ฟเฮซ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309201
1309202,OMG1_,OMG1_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309202
1309203,"Wolfheze, the Netherlands, September 17th, 1944. Eight miles outside of Arnhem, Kampfgruppe Lehr is making preparations to begin training exercises under a clear September sky.",เมืองโวล์ฟเฮซ ประเทศเนเธอร์แลนด์ 17 กันยายน 1944 คัมฟ์กรุปเป้ Lehr อยู่ห่างจากเมืองอาร์เนมออกไปแปดไมล์ กำลังเตรียมการเพื่อเริ่มการฝึกซ้อมภายใต้ท้องฟ้าที่แจ่มใสในเดือนกันยายน,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309203
1309204,Wolfheze: September Snow,Wolfheze: กันยายนหิมะ,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309204
1309205,OMG2_,OMG2_,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309205
1309206,"As the RAF operation continues, British paratroopers are landing in the area. Kampfgruppe Lehr’s orders are to maintain control of Wolfheze and neutralize the enemy drop zones.",ขณะที่ปฏิบัติการของกองทัพอากาศยังคงดำเนินต่อไป พลร่มชาวอังกฤษกำลังลงจอดในพื้นที่ คำสั่งของ คัมฟ์กรุปเป้ Lehr คือการรักษาการควบคุม Wolfheze และทำลายเขตทิ้งร่มของศัตรู,แคมเปญก็อง+มาร์เก็ตการ์เดน (บทพูดภารกิจ),1309206
