id,english,thai,context,all_ids
7010004,...a wall of ‘em.,...กำแพงของพวกมัน,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010004
7010010,"Seven, Dillingham, seven.",เจ็ดคน ดิลลิงแฮม เจ็ดคน,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010010
7010020,"So, Major Blackmore empties his clip on ‘em, and then realizes: Shite, there’s one left! ",ดังนั้น พันตรีแบล็คมอร์ จึงสาดกระสุนจนหมดแม็กใส่พวกมัน แล้วก็รู้ตัวว่า: ชิบหาย เหลืออีกตัวหนึ่ง!,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010020
7010021,Panzer Divisions in the area are mobilizing to meet our advance.,กองพลยานเกราะในพื้นที่กำลังระดมกำลังเพื่อสกัดกั้นการรุกคืบของเรา,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010021
7010055,"""Laughter""","""""เสียงหัวเราะ""""",แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010055|7020080
7010100,Bloody Jerries... here we go.,พวกเยอรมันเวรเอ๊ย... เอาล่ะ ลุยกันเลย,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010100
7010110,"Captain Cutting, remind me to gather my own intelligence in the future! ",ร้อยเอกคัตติ้ง เตือนฉันทีว่าคราวหน้าฉันจะหาข่าวกรองด้วยตัวเอง!,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010110
7010120,"I wouldn’t put the kettle on yet, Captain Cutting.",อย่าเพิ่งตั้งกาน้ำชาเลย ร้อยเอกคัตติ้ง,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010120
7010130,"What are we going to do, flatten the place? ",เราจะทำยังไงล่ะ ถล่มที่นี่ให้ราบเป็นหน้ากลองเลยไหม?,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010130
7010140,"Doubt not, the Gods have answered…",ไม่ต้องสงสัยเลย เหล่าทวยเทพได้ขานรับแล้ว…,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010140
7010150,"What are we going to do, flatten the bloody place? ",เราจะทำยังไงล่ะ ถล่มไอ้ที่เฮงซวยนี่ให้ราบเป็นหน้ากลองเลยไหม?,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010150|7020240
7010160,Sweet Christ. ,พระเจ้าช่วย,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7010160
7020010,"Despite landing a quarter of a million troops in Operation Overlord,","แม้จะยกพลขึ้นบกถึงสองแสนห้าหมื่นนายในปฏิบัติการโอเวอร์ลอร์ด,",แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020010
7020030,Caen is the hub by which the 2nd Army can liberate France.,ก็องเป็นศูนย์กลางยุทธศาสตร์ที่กองทัพที่ 2 จะใช้ปลดปล่อยฝรั่งเศส,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020030
7020040,"With Authie secure, ","เมื่อยึดออธี ได้อย่างปลอดภัยแล้ว,",แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020040
7020041,3rd Battalion's next objective is to take Hill 112 in support of Operation Epsom.,เป้าหมายต่อไปของกองพันที่ 3 คือการยึดเนิน 112 เพื่อสนับสนุนปฏิบัติการเอปซัม,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020041
7020050,Two cuts? ,สองแผลเหรอ?,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020050
7020060,Two cuts. ,สองแผล,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020060
7020070,Baldy didn’t even lose his pipe!,เจ้าหัวล้านยังไม่ทำกล้องยาสูบหลุดปากด้วยซ้ำ!,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020070
7020090,"Intel suggests we’ll clean the hill up real nice, Major.",ข่าวกรองบอกว่าเราจะกวาดล้างเนินเขานี้ได้อย่างหมดจดครับ พันตรี,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020090
7020100,"Poor Frenchies, Jerry really did a number on ‘em.",พวกฝรั่งเศสน่าสงสาร โดนพวกเยอรมันเล่นงานซะยับเยิน,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020100
7020140,We’ll thin them out back to Paris without so much as a zap. Wankers.  ,เราจะไล่กวาดพวกมันถอยร่นกลับปารีสแบบไม่ทันตั้งตัว ไอ้พวกเวรเอ๊ย,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020140
7020170,The General says Caen isn’t too far.,ท่านนายพลบอกว่าเมืองก็องอยู่ไม่ไกลแล้ว,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020170
7020220,Tell 3rd Battalion to pull back and dig in. We need to protect HQ.,บอกกองพันที่ 3 ให้ถอยกลับมาตั้งแนวรับ เราต้องปกป้องกองบัญชาการ,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020220
7020230,"Boudica, silence that Panther!  Pull back, dig in, and protect HQ; repeat. . .",บูดิกา จัดการรถถังแพนเธอร์ นั่นซะ! ถอยกลับมา ตั้งแนวรับ และปกป้องกองบัญชาการ; ขอย้ำ...,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020230
7020250,"3rd Battalion, pull back, dig in, and protect HQ; Major Blackmore’s orders.",กองพันที่ 3 ถอยกลับมาตั้งแนวรับ และปกป้องกองบัญชาการ; คำสั่งจากพันตรีแบล็คมอร์,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020250
7020270,Sweet fucking Christ. ,ให้ตายสิพระเจ้า!,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020270
7020280,"Give ‘em a bit of an ‘eadache, these will!",ไอ้พวกนี้นี่แหละ จะทำให้พวกมันปวดกบาลแน่!,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020280
7020290,The Brits took the hill today. No telling when they might arrive.,พวกอังกฤษยึดเนินเขาได้ในวันนี้ ไม่มีทางรู้เลยว่าพวกมันจะมาถึงเมื่อไหร่,แคมเปญมาร์เก็ตการ์เดน (บทพูดภารกิจ),7020290
