id,english,thai,context,all_ids
90303,"Good vs. Infantry, Infantry in Cover","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, ทหารราบในที่กำบัง",ยูนิต: สถิติอาวุธ (Good vs. ...),90303
92000,Good vs. Tanks,มีประสิทธิภาพสูงเมื่อปะทะรถถัง,ยูนิต: สถิติอาวุธ (Good vs. ...),92000|92200|92900|93000|93100|94850
92250,Good vs. Paper,ดีเมื่อปะทะกระดาษ,ยูนิต: สถิติอาวุธ (Good vs. ...),92250
92350,Good vs. Bacon and Eggs,ดีเมื่อปะทะเบคอนและไข่,ยูนิต: สถิติอาวุธ (Good vs. ...),92350
92400,"Good vs. Snipers, Support Weapons","มีประสิทธิภาพสูงเมื่อปะทะสไนเปอร์, อาวุธสนับสนุน",ยูนิต: สถิติอาวุธ (Good vs. ...),92400|2139050|2200301|2204450
92450,Good vs. Infantry,มีประสิทธิภาพสูงเมื่อปะทะทหารราบ,ยูนิต: สถิติอาวุธ (Good vs. ...),92450|93204|95250|95500|96502|98751
94600,"Good vs. Snipers, Weapon Teams","มีประสิทธิภาพสูงเมื่อปะทะสไนเปอร์, ทีมอาวุธ",ยูนิต: สถิติอาวุธ (Good vs. ...),94600|2142400|2180350
94900,"Good vs. Infantry, Buildings","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, อาคาร",ยูนิต: สถิติอาวุธ (Good vs. ...),94900|95200
94950,"Good vs. Snipers, can capture Territory","มีประสิทธิภาพสูงเมื่อปะทะสไนเปอร์, สามารถยึดครองพื้นที่ได้",ยูนิต: สถิติอาวุธ (Good vs. ...),94950|2094950
95302,Good vs. Light Armored Vehicles,มีประสิทธิภาพสูงเมื่อปะทะยานเกราะเบา,ยูนิต: สถิติอาวุธ (Good vs. ...),95302
100302,"Good vs. Infantry, Infantry in Cover","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, ทหารราบในที่กำบัง",ยูนิต: สถิติอาวุธ (Good vs. ...),100302|2090303|2203900
100550,"Good vs. Tanks, Heavy Buildings","มีประสิทธิภาพสูงเมื่อปะทะรถถัง, สิ่งปลูกสร้างขนาดใหญ่",ยูนิต: สถิติอาวุธ (Good vs. ...),100550
100600,"Good vs. Tanks, heavy Buildings","มีประสิทธิภาพสูงเมื่อปะทะรถถัง, สิ่งปลูกสร้างขนาดใหญ่",ยูนิต: สถิติอาวุธ (Good vs. ...),100600|2100550|2100600
100802,"Good vs. Tanks, Vehicles","มีประสิทธิภาพสูงเมื่อปะทะรถถัง, ยานพาหนะ",ยูนิต: สถิติอาวุธ (Good vs. ...),100802|2100802
100850,"Good vs. Buildings, Infantry","มีประสิทธิภาพสูงเมื่อปะทะอาคาร, ทหารราบ",ยูนิต: สถิติอาวุธ (Good vs. ...),100850|100900|106353|111750|2100850|2100900|2106353|2111750
102100,Good vs. Infantry and Light Vehicles,มีประสิทธิภาพสูงเมื่อปะทะทหารราบและยานพาหนะเบา,ยูนิต: สถิติอาวุธ (Good vs. ...),102100|103250|103300|2096252|2099602|2103250|2103300|2107502|2143300
102150,Good vs. Infantry,มีประสิทธิภาพสูงเมื่อปะทะทหารราบ,ยูนิต: สถิติอาวุธ (Good vs. ...),102150|102700|104100|104550|105250|105350|106602|106702|106800|106850|106900|106950|107300|107350|107450|107500|108150|108250|108300|108650|108700|109002|114502|117952|119102|119302|119802|119902|120802|129053|129752|133951|134001|137853|141400|144303|147553|150301|2093204|2096502|2098751|2104100|2105250|2105350|2106602|2106702|2106850|2106950|2108700|2109002|2114502|2114551|2117952|2119102|2119302|2119802|2119902|2120802|2129053|2129752|2134001|2136401|2142600|2143400|2143650|2143700|2144303|2145050|2145100|2145150|2145300|2145650|2145700|2145800|2146350|2146400|2146450|2147350|2152400|2179650|2181800|2182000|2182050|2200100|2200250|2200500|2204250|2204350|2204650|2218450|2218500|2218552|2218751|2219000|2219050|2219100|2256151|2256602
102350,"Good vs. Infantry, Light Vehicles","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, ยานพาหนะเบา",ยูนิต: สถิติอาวุธ (Good vs. ...),102350|108550|108600|112450|145202|158752|2093150|2108600|2112450|2143500|2145202|2146950|2158752|2200550|2204700|2218650|2219200
102450,Good vs. Rock,ดีเมื่อปะทะก้อนหิน,ยูนิต: สถิติอาวุธ (Good vs. ...),102450
102500,Good vs. Tanks,มีประสิทธิภาพสูงเมื่อปะทะรถถัง,ยูนิต: สถิติอาวุธ (Good vs. ...),102500|102550|106300|107000|107050|108100|112250|118752|118802|119152|120100|120152|144852|147750|149001|157002|162603|2092000|2092400|2092850|2096953|2106300|2106452|2107050|2108100|2108302|2112250|2113252|2118752|2118802|2119152|2120100|2120152|2137950|2139450|2143600|2145350|2145400|2157002|2162603|2200353|2200401|2200450|2204500|2204550|2204600|2218702|2218800|2218850|2219300|2219400
102852,Good vs.... horsemen in plate armor,ดีเมื่อปะทะ... ทหารม้าในชุดเกราะ,ยูนิต: สถิติอาวุธ (Good vs. ...),102852
104150,"Good vs. Infantry, Infantry in cover","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, ทหารราบในที่กำบัง",ยูนิต: สถิติอาวุธ (Good vs. ...),104150|104200|2104200|2144550|2200150|2204300|2218600|2219150
104250,"Good vs. Infantry, Light vehicles.","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, ยานพาหนะเบา",ยูนิต: สถิติอาวุธ (Good vs. ...),104250|104300|2144650|2180800|2204150
105550,Good vs. Buildings,มีประสิทธิภาพสูงเมื่อปะทะอาคาร,ยูนิต: สถิติอาวุธ (Good vs. ...),105550|105600|107200|2095800|2144800|2145600|2158201|2181000|2181600
105650,"Good vs. Infantry, Tanks","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, รถถัง",ยูนิต: สถิติอาวุธ (Good vs. ...),105650|105700|107100|108350|112850|2112850|2144900|2145450|2145500|2146500|2146550|2200200|2204200|2219250|2219350
105850,Good vs. Tanks and Aircraft,มีประสิทธิภาพสูงเมื่อปะทะรถถังและเครื่องบิน,ยูนิต: สถิติอาวุธ (Good vs. ...),105850|105900|2105850|2105900
106052,"Good vs. Mines, Infantry","มีประสิทธิภาพสูงเมื่อปะทะทุ่นระเบิด, ทหารราบ",ยูนิต: สถิติอาวุธ (Good vs. ...),106052|2106052|2108502
106752,Good vs. Light Tanks,มีประสิทธิภาพสูงเมื่อปะทะรถถังเบา,ยูนิต: สถิติอาวุธ (Good vs. ...),106752|2106752
107550,Good vs. Buildings.,มีประสิทธิภาพสูงเมื่อปะทะอาคาร,ยูนิต: สถิติอาวุธ (Good vs. ...),107550|107600|2093050|2145850
107852,"Good vs. Infantry, can reinforce nearby squads","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, สามารถเสริมกำลังหมวดใกล้เคียงได้",ยูนิต: สถิติอาวุธ (Good vs. ...),107852|2107852
108000,"Good vs. Tanks, can ambush attack.","มีประสิทธิภาพสูงเมื่อปะทะรถถัง, สามารถซุ่มโจมตีได้",ยูนิต: สถิติอาวุธ (Good vs. ...),108000|2146200|2146250
108400,Good vs. Tanks.,มีประสิทธิภาพสูงเมื่อปะทะรถถัง,ยูนิต: สถิติอาวุธ (Good vs. ...),108400|2108400
108750,"Good vs. Tanks, Buildings, Bridges.","มีประสิทธิภาพสูงเมื่อปะทะรถถัง, อาคาร, สะพาน",ยูนิต: สถิติอาวุธ (Good vs. ...),108750|108800|2093350|2108800|2147500
110100,"Good vs. Vehicles, Tanks.","มีประสิทธิภาพสูงเมื่อปะทะยานพาหนะ, รถถัง",ยูนิต: สถิติอาวุธ (Good vs. ...),110100|110300|2110100|2110300
110350,Good vs. Vehicles and Tanks,มีประสิทธิภาพสูงเมื่อปะทะยานพาหนะและรถถัง,ยูนิต: สถิติอาวุธ (Good vs. ...),110350|132453|132455|147652|2110350|2132453|2147652
110502,"Good vs. Vehicles, Tanks","มีประสิทธิภาพสูงเมื่อปะทะยานพาหนะ, รถถัง",ยูนิต: สถิติอาวุธ (Good vs. ...),110502|2110502
112000,"Good vs. Infantry, Buildings","มีประสิทธิภาพสูงเมื่อปะทะทหารราบ, อาคาร",ยูนิต: สถิติอาวุธ (Good vs. ...),112000|2094900|2112000
112050,Good vs. Infantry and Light Tanks,มีประสิทธิภาพสูงเมื่อปะทะทหารราบและรถถังเบา,ยูนิต: สถิติอาวุธ (Good vs. ...),112050|2112050
112300,Good vs. Infantry and Buildings,มีประสิทธิภาพสูงเมื่อปะทะทหารราบและอาคาร,ยูนิต: สถิติอาวุธ (Good vs. ...),112300|116152|2112300|2116152
112353,"Good vs. Buildings, Obstructions and Infantry","มีประสิทธิภาพสูงเมื่อปะทะสิ่งปลูกสร้าง, สิ่งกีดขวาง และทหารราบ",ยูนิต: สถิติอาวุธ (Good vs. ...),112353|2112353
