id,english,thai,context,all_ids
500250,Max Players:,ผู้เล่นสูงสุด:,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500250|507001|509750|510002|600822|604752|605050|605297|606500|613036
500252,2p_Senois (map name),2p_Senois (ชื่อแผนที่),UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500252|507003|509752|510004|600772|604754|605052|605299|606502|704521
500253,Option_0:,ตัวเลือก_0:,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500253|507004|509753|510012|600773|604762|606503
500254,Option_1:,ตัวเลือก_1:,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500254|507005|509754|510006|600774|604756|606504
500276,LAN GAME SETUP,การตั้งค่าเกม LAN,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500276|510005|604790|605008
500277,Join Game,เข้าร่วมเกม,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500277|507010|508750
500295,Host Game,เกมเจ้าบ้าน,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500295|507011|508751
500296,PLAYER LIST,รายชื่อผู้เล่น,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500296|503311|507041|508787|509003
500301,Game Name,ชื่อห้องเกม,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500301|500305|507042|507046|508752|508756|509008|605000|605002|605253|605259|613003|613010|613077
500302,Map Name,ชื่อแผนที่,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500302|500306|507043|507047|508753|508757|509009|509771|510029|604779|605003|605009|605254|605260|613012|717046
500304,Max Players,ผู้เล่นสูงสุด,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500304|500308|507045|507049|508755|508759
500309,Ping,ปิง,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500309|507050|508760|509012|600043|600759|600815|605024|605030|605257|605303|605316|610251|610259|704506|704512
500310,Refresh,รีเฟรช,UI: ล็อบบี้/ออนไลน์/แรงก์/ผลแมตช์,500310|507051|508761
