id,english,thai,context,all_ids
320300,Heavy Armor spotted!,พบเกราะหนัก!,บทพูด/ภารกิจ M13 มอร์แตง,320300|1460830
320310,CONTACT! Panther closing in!,พบศัตรู! รถถังแพนเธอร์กำลังประชิดเข้ามา!,บทพูด/ภารกิจ M13 มอร์แตง,320310
320320,Panther acquired... Weapons free,ตรวจพบแพนเธอร์... ยิงได้อิสระ,บทพูด/ภารกิจ M13 มอร์แตง,320320
320330,Enemy Panther... FIRE AT WILL!,ศัตรูแพนเธอร์... ยิงได้ตามใจ!,บทพูด/ภารกิจ M13 มอร์แตง,320330
320340,Target in sight... PANTHER... Gunner OPEN FIRE!,เป้าหมายอยู่ในสายตา... แพนเธอร์... พลปืน เปิดฉากยิง!,บทพูด/ภารกิจ M13 มอร์แตง,320340
320350,PANTHER!  We need armor support!,แพนเธอร์! เราต้องการเกราะสนับสนุน!,บทพูด/ภารกิจ M13 มอร์แตง,320350
320360,PANTHER! Hit the deck!,แพนเธอร์! หมอบลง!,บทพูด/ภารกิจ M13 มอร์แตง,320360
320370,Goddamn PANTHER!  We can't hurt that!,ให้ตายเถอะ แพนเธอร์! เราไม่สามารถทำร้ายสิ่งนั้นได้!,บทพูด/ภารกิจ M13 มอร์แตง,320370
320380,We're taking HEAVY FIRE from that PANTHER.,เรากำลังถูกระดมยิงอย่างหนักจากรถถังแพนเธอร์คันนั้น!,บทพูด/ภารกิจ M13 มอร์แตง,320380
320400,PANTHER destroyed... kill confirmed!,PANTHER ถูกทำลาย... ยืนยันการสังหารแล้ว!,บทพูด/ภารกิจ M13 มอร์แตง,320400|320401
320410,Gunner... PANTHER is KNOCKED OUT. ,กันเนอร์... แพนเธอร์ถูกน็อคไปแล้ว,บทพูด/ภารกิจ M13 มอร์แตง,320410|320411
320420,"Hell ya, Panther kill confirmed!",ให้ตายเถอะ ยืนยันการฆ่าแพนเธอร์แล้ว!,บทพูด/ภารกิจ M13 มอร์แตง,320420|320421
320430,Sir... Panther Target is smoking.,เป้าหมายแพนเธอร์มีควันพวยพุ่ง,บทพูด/ภารกิจ M13 มอร์แตง,320430|320431
320440,Direct Hit! Panther is history.,โจมตีโดยตรง! แพนเธอร์คือประวัติศาสตร์,บทพูด/ภารกิจ M13 มอร์แตง,320440|320441|320442
320450,Confirmed hit... Panther destroyed.,ยืนยันการโจมตี... แพนเธอร์ถูกทำลาย,บทพูด/ภารกิจ M13 มอร์แตง,320450|320451|320452
320460,Panther target disabled. ,ทำลายระบบขับเคลื่อนรถถังแพนเธอร์สำเร็จแล้ว,บทพูด/ภารกิจ M13 มอร์แตง,320460|320461|320462
320465,"Kill confirmed, Panther Target.",ยืนยันทำลายเป้าหมาย รถถังแพนเธอร์ถูกทำลาย,บทพูด/ภารกิจ M13 มอร์แตง,320465|320466|320467
320470,"Panther is reloading, move! move! move!",รถถังแพนเธอร์กำลังบรรจุกระสุนใหม่ เคลื่อนที่เร็ว! เคลื่อนที่! เคลื่อนที่!,บทพูด/ภารกิจ M13 มอร์แตง,320470
320475,"Panther is attacking us, disperse!",รถถังแพนเธอร์กำลังโจมตีเรา กระจายกำลังออกเร็ว!,บทพูด/ภารกิจ M13 มอร์แตง,320475
320480,Enemy Panther... he's got us square in his sights,รถถังแพนเธอร์ข้าศึก... มันเล็งปืนใส่เราตรงๆ เลย!,บทพูด/ภารกิจ M13 มอร์แตง,320480
320485,Kraut armor inbound...,ยานเกราะพวกเยอรมันกำลังเข้ามา...,บทพูด/ภารกิจ M13 มอร์แตง,320485
320490,Gunner Target that Panther...,พลปืน เล็งเป้าไปที่รถถังแพนเธอร์นั่น...,บทพูด/ภารกิจ M13 มอร์แตง,320490
320520,"Listen up, we NEED those M10s to the front... NOW",ฟังนะ เราต้องเอายานพิฆาตรถถัง M10 ขึ้นมาแนวหน้า... เดี๋ยวนี้เลย!,บทพูด/ภารกิจ M13 มอร์แตง,320520
320530,Call up the M10s...,เรียกยานเกราะ M10 ขึ้นมา...,บทพูด/ภารกิจ M13 มอร์แตง,320530
320540,"You heard the Captain, get more M10s into the fight!",ได้ยินที่ผู้กองสั่งแล้วนะ นำยานเกราะ M10 เข้าสู่การรบเพิ่มด่วน!,บทพูด/ภารกิจ M13 มอร์แตง,320540
320550,Use those smoke canisters Those Panther's can't hit what he can't see. ,ใช้ระเบิดควันพวกนั้นซะ! รถถังแพนเธอร์มันยิงสิ่งทีมองไม่เห็นไม่ได้หรอก,บทพูด/ภารกิจ M13 มอร์แตง,320550
320560,"Nothing is getting through their FRONT armor, we have to FLANK those Panthers. ",ไม่มีอะไรยิงเจาะเกราะหน้าของพวกมันเข้าได้ เราต้องเข้าตีโอบด้านข้างรถถังแพนเธอร์พวกนั้น!,บทพูด/ภารกิจ M13 มอร์แตง,320560
320570,"If we can sneak around behind him, we can hit him from the rear.",ถ้าเราอ้อมไปข้างหลังมันได้ เราจะยิงเข้าเกราะท้ายของมันได้,บทพูด/ภารกิจ M13 มอร์แตง,320570
320580,We need those M10 tank destroyers to take out the PANTHERS,เราจำเป็นต้องใช้ยานเกราะพิฆาตรถถัง M10 ในการจัดการกับรถถังแพนเธอร์,บทพูด/ภารกิจ M13 มอร์แตง,320580
320600,AMBUSH... Panther closing in!  ,ถูกซุ่มโจมตี... รถถังแพนเธอร์กำลังประชิดเข้ามา!,บทพูด/ภารกิจ M13 มอร์แตง,320600
320610,Look out! They're using Goliaths! ,ระวัง! พวกมันใช้รถถังจิ๋วโกลิอัท!,บทพูด/ภารกิจ M13 มอร์แตง,320610
320620,Smokescreen! Prepare for contact! ,ม่านควันบังตา! เตรียมรับการปะทะ!,บทพูด/ภารกิจ M13 มอร์แตง,320620
320630,Support! We're under attack by multiple Panthers!,ขอกำลังหนุนด่วน! เรากำลังถูกรถถังแพนเธอร์หลายคันรุมโจมตี!,บทพูด/ภารกิจ M13 มอร์แตง,320630
320650,We've lost sight of the panther!,เราคลาดสายตาจากรถถังแพนเธอร์แล้ว!,บทพูด/ภารกิจ M13 มอร์แตง,320650
320660,Scout the area before the Panther flanks us.,ลาดตระเวนพื้นที่ก่อนที่รถถังแพนเธอร์จะตลบหลังเรา,บทพูด/ภารกิจ M13 มอร์แตง,320660
320700,Panther is down!,รถถังแพนเธอร์พังแล้ว!,บทพูด/ภารกิจ M13 มอร์แตง,320700
320710,"Hella ya, way to go Able company!",สุดยอดไปเลย ทำได้เยี่ยมมากกองร้อยเอเบิล!,บทพูด/ภารกิจ M13 มอร์แตง,320710
320720,"Yessir, that's from Uncle Sam with love!",จัดไปครับท่าน นี่คือความรักจากลุงแซม!,บทพูด/ภารกิจ M13 มอร์แตง,320720
320730,Woo Hoo! Look at him burn! Take that you Kraut,วู้ฮู! ดูมันไหม้สิ! โดนซะบ้างนะพวกไอ้เยอรมัน,บทพูด/ภารกิจ M13 มอร์แตง,320730
320740,Nothing but a smoking wreck!,ไม่เหลืออะไรนอกจากซากไหม้เกรียม!,บทพูด/ภารกิจ M13 มอร์แตง,320740
320750,That's one less Panther to worry about,กำจัดรถถังแพนเธอร์ไปได้อีกหนึ่งคัน!,บทพูด/ภารกิจ M13 มอร์แตง,320750
321060,"Our M10s are fast and pack a punch, but they can't go toe-to-toe with a Panther.  Go for the side or rear armor.",ยานเกราะ M10 ของเราวิ่งเร็วและหมัดหนัก แต่ไม่สามารถแลกหมัดตรงๆ กับรถถังแพนเธอร์ได้ จงหาทางยิงเข้าเกราะข้างหรือเกราะท้าย,บทพูด/ภารกิจ M13 มอร์แตง,321060
321070,Air recon shows the Panthers were last spotted in this area and we can presume they're waiting for us.,การลาดตระเวนทางอากาศระบุว่าพบรถถังแพนเธอร์ครั้งสุดท้ายในบริเวณนี้ และเราคาดว่าพวกมันกำลังดักรอเราอยู่,บทพูด/ภารกิจ M13 มอร์แตง,321070
321080,We're outgunned here and those Panthers have the element of surprise. So proceed with caution.,อำนาจการยิงเราเป็นรอง และรถถังแพนเธอร์พวกนั้นมีความได้เปรียบจากการซุ่มโจมตี ดังนั้นจงรุกคืบด้วยความระมัดระวัง,บทพูด/ภารกิจ M13 มอร์แตง,321080
321081,"Once we've located the Panthers, use Shermans and infantry to draw them out and then deploy M10 Tank Destroyers to flank them. ",เมื่อเราหาตำแหน่งรถถังแพนเธอร์พบ ให้ใช้รถถังเชอร์แมนและทหารราบล่อพวกมันออกมา แล้วส่งยานพิฆาตรถถัง M10 เข้าตีโอบด้านข้าง,บทพูด/ภารกิจ M13 มอร์แตง,321081
323001,"Alright, the Panzer Lehr took a beating this morning, but its Panther tanks are still operational and a threat to us. ",เอาล่ะ กองพลพันเซอร์เลฮร์โดนถล่มยับไปเมื่อเช้านี้ แต่รถถังแพนเธอร์ของพวกมันยังคงใช้งานได้และเป็นภัยคุกคามร้ายแรงต่อเรา,บทพูด/ภารกิจ M13 มอร์แตง,323001
325100,"Gunner, stand by. ",พลปืน ประจำที่,บทพูด/ภารกิจ M13 มอร์แตง,325100
325101,Range: eight hundred and fifty meters.,ระยะยิง: 850 เมตร,บทพูด/ภารกิจ M13 มอร์แตง,325101
325102,"Target: American officers... six, two, three degrees",เป้าหมาย: นายทหารอเมริกัน... พิกัด 6-2-3 องศา,บทพูด/ภารกิจ M13 มอร์แตง,325102
325103,Fire when ready...,ยิงเมื่อพร้อม...,บทพูด/ภารกิจ M13 มอร์แตง,325103
325104,MEDIC! MEDIC!! We need a fucking medic!!,เสนารักษ์! เสนารักษ์!! ใครก็ได้ตามหมอมาช่วยทีโว้ย!!,บทพูด/ภารกิจ M13 มอร์แตง,325104
