id,english,thai,context,all_ids
300006,Garrison one of these nearby buildings and set it up as a field barracks,เข้าประจำการในอาคารหนึ่งในอาคารใกล้เคียงเหล่านี้และตั้งเป็นค่ายทหารทุ่ง,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300006
300102,This place is a ghost town.,สถานที่แห่งนี้เป็นเมืองผี,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300102
300103,There's nothing left but rats. And krauts. ,ไม่มีอะไรเหลืออยู่เลยนอกจากหนู... กับพวกไอ้เยอรมัน,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300103
300105,Alright. Let's get a barracks established. ,ใช้ได้. มาสร้างค่ายทหารกันเถอะ,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300105
300600,Our base is in range of the kraut artillery. ,ฐานของเราอยู่ในระยะยิงของปืนใหญ่พวกเยอรมัน,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300600
300601,They're gonna keep pounding on us till we silence their rocket launchers. ,พวกมันจะระดมยิงถล่มเราไม่หยุดจนกว่าเราจะทำลายเครื่องยิงจรวดของพวกมัน,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300601
300702,Rocket battery destroyed.  The Krauts still have one remaining.,ทำลายกองร้อยเครื่องยิงจรวดได้แล้วหนึ่งแห่ง พวกเยอรมันยังเหลืออยู่อีกหนึ่งแห่ง,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300702
300801,The Germans have made St. Lo a 'fortress city'. The entire town center's a concentrated defensive ring. ,พวกเยอรมันทำให้แซงต์โล กลายเป็น 'เมืองป้อมปราการ' ใจกลางเมืองทั้งหมดเป็นแนวป้องกันที่แน่นหนา,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300801
300803,"First up, we'll need a base of operations.",ก่อนอื่น เราจะต้องมีฐานปฏิบัติการ,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300803
300805,"By cutting off the Germans, we'll force them to try and breakout, or surrender. Either way, Able gets to break a hard nut.",การตัดขาดเส้นทางส่งกำลังบำรุงของพวกเยอรมัน จะบีบให้พวกมันต้องพยายามฝ่าวงล้อมออกมาหรือยอมจำนน ไม่ว่าทางไหน กองร้อยเอเบิลก็ต้องเจองานหินแน่,บทพูด/ภารกิจ M10 สต.โลโต้กลับ,300805
