id,english,thai,context,all_ids
310001,403rd British division here. ,กองพลที่ 403 ของอังกฤษรายงานตัว,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310001
310002,3rd Canadian division here. ,กองพลที่ 3 ของแคนาดารายงานตัว,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310002
310003,We don't need all that muscle.,เราไม่ต้องใช้กำลังขนาดนั้นหรอก,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310003
310004,Captain-Lieutenant! That MG has got us fixed real well!,ท่านร้อยเอก! ปืนกลพวกมันยิงตรึงพวกเราจนขยับไม่ได้เลยครับ!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310004
310005,3rd Division this is the 403rd requesting backup; we need you to flank the building and take out the MG squad north of our current position. ,กองพลที่ 3 นี่คือกองพลที่ 403 ขอกำลังสนับสนุน เราต้องการให้คุณเข้าตีโอบอาคารและทำลายหมู่ปืนกลทางทิศเหนือของตำแหน่งเรา,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310005
310006,Take cover to the right of that building!,เข้าที่กำบังทางขวาของอาคารหลังนั้นเร็ว!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310006
310007,"Hold this position, we seem to be safe from the MG here.",ตรึงตำแหน่งนี้ไว้ ตรงนี้เราน่าจะพ้นแนวยิงของปืนกล,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310007
310008,Satchel that fat knacker! ,ปาระเบิดแรงสูงใส่ไอ้อ้วนเวรนั่นเลย!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310008
310009,Where did that Tiger pole-up from? We need to send these honkers back to Bavaria,รถถังไทเกอร์นั่นโผล่มาจากไหนวะ!? เราต้องส่งไอ้พวกเยอรมันเวรนี่กลับบาวาเรียให้หมด!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310009
310010,I staring that thing right down it's bloody barrel! ,ฉันกำลังจ้องหน้าลำกล้องปืนบัดซบของมันอยู่ตรงๆ เลยเนี่ย!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310010
310011,Christopher is down! Medic!,คริสโตเฟอร์โดนยิง! เสนารักษ์!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310011
310012,Darwin!!!!!!,ดาร์วิน!!!!!!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310012
310013,That manky thing is going to crush us right down to our shreddies. ,ไอ้รถถังเวรนั่นจะบดขยี้พวกเราจนแหลกเป็นุณผุยผงแล้ว!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310013
310014,Flippin' wonderful. Now it's going to shot us.,ยอดเยี่ยมกระเทียมดอง คราวนี้มันกำลังจะยิงถล่มเราแล้ว,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310014
310015,At least here we're out of that Tiger's eye.   ,อย่างน้อยตรงนี้เราก็พ้นสายตาของรถถังไทเกอร์แล้ว,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310015
310016,Captain-Lieutenant! Let's grab that heavy weapon and give that Tiger a goffer right to the barrel.,ท่านร้อยเอก! คว้าอาวุธหนักนั่นแล้วยิงสวนแสกหน้าไอ้รถถังไทเกอร์นั่นเลยครับ!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310016
310017,Damn thing is heavy. ,ของเวรนี่หนักชะมัด,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310017
310018,"Let's give ‘em some of that Carpiquet love, straight from the Candian 3rd.",จัดความรักแบบคาร์ปิเกต์ ส่งตรงจากกองพลที่ 3 ของแคนาดาให้พวกมันสักหน่อย!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310018
310019,"This side works too, but I meant the other side.  ",ฝั่งนี้ก็พอได้ แต่ฉันหมายถึงอีกฝั่งหนึ่งต่างหาก,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310019
310020,"3rd Division, I told you to satchel the building, not run right into their nest. ",กองพลที่ 3 ฉันบอกให้ใช้ระเบิดแรงสูงถล่มตึก ไม่ใช่วิ่งดุ่มๆ เข้าไปในรังของพวกมัน!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310020
310021,Ping that Bazooka,เล็งยิงปืนบาซูก้านั่นเลย!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310021
310022,Jerry's got a Panzerschrek coming for us!,พวกเยอรมันเอาพันเซอร์เชร็คมาเล็งเราแล้ว!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310022
310023,Looks like someone left a MP44 lying about.,ดูเหมือนว่าจะมีคนทำปืน MP44 ตกทิ้งไว้แถวนี้,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310023
310024,"This church is would make a great Puzzle Palace, that's HQ to all you commonwealthers.",โบสถ์หลังนี้น่าจะใช้เป็น บก. ส่วนหน้าได้ดีเลยนะ,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310024
310025,"Captain-Lieutenant, sir!",ท่านร้อยเอกครับ!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310025|310031
310026,Soldier! Where is the rest of your squad?,ทหาร! คนที่เหลือในหมู่ของนายอยู่ที่ไหน?,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310026
310027,"My orders where to hold this postion, sir.",ผมได้รับคำสั่งให้ตรึงตำแหน่งนี้ไว้ครับท่าน,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310027
310028,Tell your squad leader I'm going to run ashore for a bit.,บอกหัวหน้าหมู่ของนายด้วยว่าฉันจะแวบไปดูลาดเลาสักครู่,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310028
310029,Here's my ride. ,รถของฉันมาแล้ว,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310029
310030,Yippie ki ya ay!!!!,ยิปปี้ กิ เย้!!!!,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,310030
319100,Destroy Cafe Normandie,ทำลายร้านกาแฟ คาเฟ่นอร์มังดี,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,319100
319101,Destroy the Tiger,ทำลายรถถังไทเกอร์,บทพูด/ภารกิจ M12 มรณกรรมของกองพล,319101|1379102
