id,english,thai,context,all_ids
219122,Destroy Bunker with Satchel Charge,ทำลายบังเกอร์ด้วยระเบิดแรงสูง,บทพูด/ภารกิจ M02 โดดร่ม,219122
219123,Neutralize 88 Battery on the Ridge,ทำลายกองร้อยปืนใหญ่ 88 บนสันเขา,บทพูด/ภารกิจ M02 โดดร่ม,219123
219125,Get %1NumberOfSoldiers% Soldiers to the Shingle,พาทหาร %1NumberOfSoldiers% นายไปยังแนวหินกรวด,บทพูด/ภารกิจ M02 โดดร่ม,219125
219126,The Shingle is indicated by the Objective Markers at the base of the cliff. Use cover to protect your squads from enemy fire.,แนวหินกรวดถูกระบุด้วยเครื่องหมายเป้าหมายที่เชิงหน้าผา ใช้ที่กำบังเพื่อปกป้องหมู่รบของคุณจากการระดมยิงของข้าศึก,บทพูด/ภารกิจ M02 โดดร่ม,219126
219127,Shingle,แนวหินกรวด,บทพูด/ภารกิจ M02 โดดร่ม,219127|219500
219131,Destroy the two Flak 88 guns on the ridge. Use Satchel Charges or Grenades to Neutralize the 88s.,ทำลายปืน Flak 88 สองกระบอกบนสันเขา ใช้ระเบิดแรงสูงหรือระเบิดมือเพื่อทำลายปืน 88,บทพูด/ภารกิจ M02 โดดร่ม,219131
219132,88 Battery,กองร้อยปืนใหญ่ 88,บทพูด/ภารกิจ M02 โดดร่ม,219132
219133,88 Destroyed!,ปืน 88 ถูกทำลายแล้ว!,บทพูด/ภารกิจ M02 โดดร่ม,219133
219150,Move Engineers to the Shingle,เคลื่อนย้ายทหารช่างไปที่แนวหินกรวด,บทพูด/ภารกิจ M02 โดดร่ม,219150
219160,Engineers are needed to breach the Shingle. Move the Engineer Squad to the Shingle and make use of cover to keep them alive.,ต้องใช้ทหารช่างเพื่อระเบิดเปิดทางแนวหินกรวด เคลื่อนย้ายหมู่ทหารช่างไปที่แนวหินกรวดและใช้ที่กำบังเพื่อรักษาชีวิตพวกเขา,บทพูด/ภารกิจ M02 โดดร่ม,219160
219190,Destroy %1NumberOfBunkers% Axis Bunkers,ทำลายบังเกอร์ฝ่ายอักษะ %1NumberOfBunkers% แห่ง,บทพูด/ภารกิจ M02 โดดร่ม,219190
219191,The Axis are reinforcing from a number of bunkers on above the beach. Destroy the bunkers with Satchel Charges to prevent the Germans from reinforcing.,ฝ่ายอักษะกำลังส่งกำลังเสริมมาจากบังเกอร์หลายแห่งเหนือหาด ทำลายบังเกอร์เหล่านั้นด้วยระเบิดแรงสูงเพื่อสกัดกั้นไม่ให้พวกเยอรมันเสริมกำลัง,บทพูด/ภารกิจ M02 โดดร่ม,219191
219196,Bunker Destroyed!,บังเกอร์ถูกทำลาย!,บทพูด/ภารกิจ M02 โดดร่ม,219196
219197,Bunker Spotted!,พบบังเกอร์แล้ว!,บทพูด/ภารกิจ M02 โดดร่ม,219197
219200,Clear Left Beach Exit,เคลียร์ทางออกหาดฝั่งซ้าย,บทพูด/ภารกิจ M02 โดดร่ม,219200
219201,Dog Red is a secondary approach on the left side of the beach.  Kill all the defending enemies to clear Dog Red.,หาดด็อกเรด เป็นเส้นทางเข้ารองทางด้านซ้ายของหาด สังหารศัตรูที่ตรึงกำลังป้องกันทั้งหมดเพื่อเคลียร์หาดด็อกเรด,บทพูด/ภารกิจ M02 โดดร่ม,219201
219240,Able Company,กองร้อยเอเบิล,บทพูด/ภารกิจ M02 โดดร่ม,219240|259020|269005|279300|289011|299040|309040|319040|329040|339040|349040|349460|359040|369040|409005
219241,916th Grenadier Regiment,กรมทหารราบเกรนาเดียร์ที่ 916,บทพูด/ภารกิจ M02 โดดร่ม,219241
219242,Dog Company,กองร้อยด็อก,บทพูด/ภารกิจ M02 โดดร่ม,219242|229005|239042|249042|259022|259203|349042
219350,Start,เริ่ม,บทพูด/ภารกิจ M02 โดดร่ม,219350|229010|239050|249050|259040|269250|279350|289100|299050|309951|319951|329350|339050|349670|359050|503286|508000|508500|509256|509778|510000
219351,Shingle Breached,ระเบิดเปิดทางแนวหินกรวดสำเร็จ,บทพูด/ภารกิจ M02 โดดร่ม,219351
219352,Bunker Destroyed,บังเกอร์ถูกทำลาย,บทพูด/ภารกิจ M02 โดดร่ม,219352
219353,Medal Awarded,เหรียญรางวัล,บทพูด/ภารกิจ M02 โดดร่ม,219353|229013|239054|249054|259043|269254|279353|289105|309955|319955|339054|359051|369051
219354,%1NumberOfBunkers% Bunkers Destroyed,ทำลายบังเกอร์ไปแล้ว %1NumberOfBunkers% แห่ง,บทพูด/ภารกิจ M02 โดดร่ม,219354
219355,One 88 Destroyed,ทำลายปืน 88 ไป 1 กระบอก,บทพูด/ภารกิจ M02 โดดร่ม,219355
219460,New Squad Available,มีหมู่รบใหม่พร้อมใช้งาน,บทพูด/ภารกิจ M02 โดดร่ม,219460
219465,New Engineer Squad available!,หมู่ทหารช่างใหม่พร้อมแล้ว!,บทพูด/ภารกิจ M02 โดดร่ม,219465
219470,Destroy the Bunker overlooking the beach with Satchel Charges. Use Engineers to throw a Satchel Charge at the bunker.,ทำลายบังเกอร์ที่คุมแนวหาดด้วยระเบิดแรงสูง สั่งให้ทหารช่างขว้างระเบิดแรงสูงใส่บังเกอร์,บทพูด/ภารกิจ M02 โดดร่ม,219470
219471,%1NumberOfSoldiers% Soldiers at the Shingle,มีทหาร %1NumberOfSoldiers% นายอยู่ที่แนวหินกรวด,บทพูด/ภารกิจ M02 โดดร่ม,219471
219502,Select this Squad to control it,เลือกหมู่รบนี้เพื่อสั่งการ,บทพูด/ภารกิจ M02 โดดร่ม,219502
219505,Destroy MG Nest with GRENADES,ทำลายรังปืนกลด้วยระเบิดมือ,บทพูด/ภารกิจ M02 โดดร่ม,219505
219515,Destroy Bunker with SATCHEL CHARGES,ทำลายบังเกอร์ด้วยระเบิดแรงสูง,บทพูด/ภารกิจ M02 โดดร่ม,219515
219516,Select this Squad of Engineers,เลือกหมู่ทหารช่างนี้,บทพูด/ภารกิจ M02 โดดร่ม,219516
219530,MOVE to these obstacles for Cover,เคลื่อนที่ไปหลังสิ่งกีดขวางเหล่านี้เพื่อใช้เป็นที่กำบัง,บทพูด/ภารกิจ M02 โดดร่ม,219530
219540,Pick-up dropped weapons,เก็บอาวุธที่ตกอยู่,บทพูด/ภารกิจ M02 โดดร่ม,219540
219546,Sniper Rescued!,ช่วยชีวิตสไนเปอร์สำเร็จแล้ว!,บทพูด/ภารกิจ M02 โดดร่ม,219546
219547,MOVE Sniper to the Shingle,เคลื่อนย้ายสไนเปอร์ไปที่แนวหินกรวด,บทพูด/ภารกิจ M02 โดดร่ม,219547
219560,Left-Click to throw Satchel Charge,คลิกซ้ายเพื่อขว้างระเบิดแรงสูง,บทพูด/ภารกิจ M02 โดดร่ม,219560
219561,Left-Click to throw Grenade,คลิกซ้ายเพื่อขว้างระเบิดมือ,บทพูด/ภารกิจ M02 โดดร่ม,219561
219571,Destroy Bunker with Satchel Charges,ทำลายบังเกอร์ด้วยระเบิดแรงสูง,บทพูด/ภารกิจ M02 โดดร่ม,219571
