id,english,thai,context,all_ids
289012,38th SS PanzerGrenadier Regiment,กรมทหารราบที่ 38 SS Panzerเกรนาเดียร์,บทพูด/ภารกิจ M09 เนิน 192,289012
289020,Secure St. Fromond,ยึดแซงต์ฟรอมงด์,บทพูด/ภารกิจ M09 เนิน 192,289020
289021,St. Fromond overlooks a vital bridge spanning the river Vire. Capture the Strategic Point in the center of the town square to establish a bridgehead.,แซงต์ฟรอมงด์มองลงมาที่สะพานสำคัญข้ามแม่น้ำเวียร์ ยึดจุดยุทธศาสตร์กลางจัตุรัสเพื่อสร้างหัวสะพาน,บทพูด/ภารกิจ M09 เนิน 192,289021
289030,Repair Bridge,ซ่อมสะพาน,บทพูด/ภารกิจ M09 เนิน 192,289030|9394643
289031,Order Engineers to Repair the bridge over the river Vire. Once repaired eliminate all Axis troops defending St. Fromond.,สั่งให้ทหารช่างสนามซ่อมแซมสะพานข้ามแม่น้ำเวียร์ เมื่อซ่อมแซมเสร็จแล้ว กำจัดกองกำลังฝ่ายอักษะทั้งหมดที่ปกป้องแซงต์ฟรอมงด์,บทพูด/ภารกิจ M09 เนิน 192,289031
289032,Order Engineers to REPAIR Bridge,สั่งให้ทหารช่างสนามซ่อมแซมสะพาน,บทพูด/ภารกิจ M09 เนิน 192,289032
289034,Left-Click to REPAIR Bridge,คลิกซ้ายเพื่อซ่อมแซมสะพาน,บทพูด/ภารกิจ M09 เนิน 192,289034
289040,Neutralize Nebelwerfers,กำจัด Nebelwerfers,บทพูด/ภารกิจ M09 เนิน 192,289040
289041,Hunt down and destroy the Nebelwerfer batteries that are bombarding St. Fromond.,ตามล่าและทำลายฐานยิงจรวดเนเบลแวร์เฟอร์ที่กำลังถล่มแซงต์ฟรอมงด์,บทพูด/ภารกิจ M09 เนิน 192,289041
289043,Nebelwerfer Firing!,เนเบลแวร์เฟอร์ ยิงแล้ว!,บทพูด/ภารกิจ M09 เนิน 192,289043
289044,Nebelwerfer Spotted!,เนเบลเวอร์เฟอร์ถูกพบเห็น!,บทพูด/ภารกิจ M09 เนิน 192,289044
289046,Nebelwerfer Target,เป้าหมายของเนเบลเวอร์เฟอร์,บทพูด/ภารกิจ M09 เนิน 192,289046
289050,Destroy the Axis Chateau HQ,ทำลายกองบัญชาการ Axis Chateau,บทพูด/ภารกิจ M09 เนิน 192,289050
289051,The 38th SS is using the Chateau to the north as a forward HQ. Destroy the Axis HQ.,SS ที่ 38 ใช้ปราสาททางเหนือเป็นศูนย์บัญชาการข้างหน้า ทำลายศูนย์บัญชาการฝ่ายอักษะ,บทพูด/ภารกิจ M09 เนิน 192,289051
289052,Axis Chateau,ปราสาทฝ่ายอักษะ,บทพูด/ภารกิจ M09 เนิน 192,289052
289053,Axis HQ Spotted!,กองบัญชาการฝ่ายอักษะถูกพบแล้ว!,บทพูด/ภารกิจ M09 เนิน 192,289053
289064,Select Goliath,เลือกโกลิอัท,บทพูด/ภารกิจ M09 เนิน 192,289064
289070,Defend St. Fromond for %1NumberOfMinutes% Minutes,ป้องกันแซงต์ฟรอมงด์เป็นเวลา %1NumberOfMinutes% นาที,บทพูด/ภารกิจ M09 เนิน 192,289070
289071,Elements of the 38th SS are mobilizing to counter-attack. Fortify St. Fromond and defend the town and bridge at all costs.,องค์ประกอบของ SS ที่ 38 กำลังระดมกำลังเพื่อตอบโต้การโจมตี เสริมกำลัง แซงต์ฟรอมงด์ และปกป้องเมืองและสะพานทุกวิถีทาง,บทพูด/ภารกิจ M09 เนิน 192,289071
289072,Defend St. Fromond,ปกป้องแซงต์ฟรอมงด์,บทพูด/ภารกิจ M09 เนิน 192,289072
289101,Bridge Repaired,ซ่อมแซมสะพานแล้ว,บทพูด/ภารกิจ M09 เนิน 192,289101|9404627
289102,Town Square Captured,ยึดจัตุรัสกลางเมืองได้แล้ว,บทพูด/ภารกิจ M09 เนิน 192,289102
289103,Nebelwerfers Attack,การโจมตีของเนเบลเวอร์เฟอร์,บทพูด/ภารกิจ M09 เนิน 192,289103
289106,20 Minutes Remaining,เหลืออีก 20 นาที,บทพูด/ภารกิจ M09 เนิน 192,289106
289107,10 Minutes Remaining,เหลือเวลาอีก 10 นาที,บทพูด/ภารกิจ M09 เนิน 192,289107
289108,5 Minutes Remaining,เหลืออีก 5 นาที,บทพูด/ภารกิจ M09 เนิน 192,289108|339057
289200,Engineers not repairing,ทหารช่างสนามไม่ซ่อม.,บทพูด/ภารกิจ M09 เนิน 192,289200
289201,Bridge Status: Repairs Started,สถานะสะพาน: เริ่มการซ่อมแซมแล้ว,บทพูด/ภารกิจ M09 เนิน 192,289201
289202,Bridge: 25% repaired,สะพาน: ซ่อมแซมแล้ว 25%,บทพูด/ภารกิจ M09 เนิน 192,289202
289203,Bridge: 50% repaired,สะพาน: ซ่อมแซมแล้ว 50%,บทพูด/ภารกิจ M09 เนิน 192,289203
289204,Bridge: 75% repaired,สะพาน: ซ่อมแซมแล้ว 75%,บทพูด/ภารกิจ M09 เนิน 192,289204
289205,Bridge: Engineers Dead,สะพาน: ทหารช่างสนามเสียชีวิต,บทพูด/ภารกิจ M09 เนิน 192,289205
