id,english,thai,context,all_ids
200000,<Insert Dialogue Here>,<Insert Dialogue Here>,บทพูด/ภารกิจ M01 ดีเดย์,200000
200301,The Germans are moving in more Pak 38's.,พวกเยอรมันกำลังส่งปืน PaK 38 เข้ามาเพิ่ม!,บทพูด/ภารกิจ M01 ดีเดย์,200301
200302,Look out for the German AT guns!,ระวังปืนต่อสู้รถถังของพวกเยอรมัน!,บทพูด/ภารกิจ M01 ดีเดย์,200302
200303,The German 38's are attacking our flank!,ปืน PaK 38 ของเยอรมันกำลังโจมตีปีกข้างของเรา!,บทพูด/ภารกิจ M01 ดีเดย์,200303
200304,Christ on a bicyle! We got Panzers inbound!,ชิบหายแล้ว! รถถังแพนเซอร์กำลังบุกเข้ามา!,บทพูด/ภารกิจ M01 ดีเดย์,200304
200305,Those Panzers will rip Redball to pieces We gotta move to intercept.,แพนเซอร์พวกนั้นจะฉีกขบวนเรดบอลเป็นชิ้นๆ เราต้องรีบไปสกัดกั้น!,บทพูด/ภารกิจ M01 ดีเดย์,200305
200306,Hell yeah! That's the last of those Panzers!,เยี่ยมมาก! นั่นแพนเซอร์คันสุดท้ายแล้ว!,บทพูด/ภารกิจ M01 ดีเดย์,200306
200307,We've got German infantry moving along our flank.,มีทหารราบเยอรมันกำลังเคลื่อนกำลังมาตามปีกข้างของเรา,บทพูด/ภารกิจ M01 ดีเดย์,200307
200308,Look out for those Stormtroopers!,ระวังพวกสตอร์มทรูปเปอร์นั่นด้วย!,บทพูด/ภารกิจ M01 ดีเดย์,200308
200309,We gotta destroy those German barracks!,เราต้องทำลายค่ายทหารเยอรมันพวกนั้นให้ได้!,บทพูด/ภารกิจ M01 ดีเดย์,200309
200901,We gotta flank that machine gun nest!,เราต้องเข้าตีโอบรังปืนกลนั่น!,บทพูด/ภารกิจ M01 ดีเดย์,200901
200902,Go around back and flank that MG!,อ้อมไปข้างหลังแล้วตีโอบปืนกลนั่น!,บทพูด/ภารกิจ M01 ดีเดย์,200902
200905,Get some grenades into those buildings!,ปาระเบิดเข้าไปในอาคารพวกนั้นเร็ว!,บทพูด/ภารกิจ M01 ดีเดย์,200905
200906,Use grenades on enemies in the buildings!,ใช้ระเบิดมือจัดการศัตรูในอาคาร!,บทพูด/ภารกิจ M01 ดีเดย์,200906
200907,We need a Supply Yard.,เราต้องการลานเสบียง,บทพูด/ภารกิจ M01 ดีเดย์,200907
