id,english,thai,context,all_ids
90050,Long range Howitzers will fire a Barrage of rounds at specified targets. Can be fired into the Fog of War.,ปืนใหญ่วิถีโค้งระยะไกลจะระดมยิงม่านกระสุนไปยังเป้าหมายที่ระบุ สามารถยิงเข้าไปในหมอกสงคราม ได้,ยูนิต: คำอธิบาย/tooltip,90050
90052,Left-click icon and then Left-click target area to Barrage.,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายพื้นที่เป้าหมายเพื่อ Barrage,ยูนิต: คำอธิบาย/tooltip,90052|90400
90053,Area of Effect attack. Good vs. Infantry and Light Vehicles,การโจมตีแบบพื้นที่ส่งผล รถถังดีกับทหารราบและยานพาหนะเบา,ยูนิต: คำอธิบาย/tooltip,90053
90150,Left-click icon and then Left-click target location,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายที่ตำแหน่งเป้าหมาย,ยูนิต: คำอธิบาย/tooltip,90150|2151300
90152,A Squad of well-armed and highly-trained Paratroopers will paradrop onto the ordered location.,หน่วยพลร่มติดอาวุธและได้รับการฝึกฝนมาอย่างดีจะพลร่มไปยังสถานที่ที่ได้รับคำสั่ง,ยูนิต: คำอธิบาย/tooltip,90152|97150|97501
90153,Versatile Squad with Satchel Charges and Recoilless Rifle upgrade,หน่วยอเนกประสงค์พร้อม Satchel Charge และการอัพเกรดปืนไรเฟิลไร้แรงสะท้อน,ยูนิต: คำอธิบาย/tooltip,90153|97151|2097151|2151301|2151451
90200,Repair a Structure or Vehicle for a nominal Resource cost.,ซ่อมแซมโครงสร้างหรือยานพาหนะด้วยต้นทุนทรัพยากรเล็กน้อย,ยูนิต: คำอธิบาย/tooltip,90200|127550|2090200|2127550|2246950
90252,Left-click icon and then Left-click target area to Reinforce.,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายพื้นที่เป้าหมายเพื่อเสริมกำลัง,ยูนิต: คำอธิบาย/tooltip,90252|90750|97102|152002|152052|152102|152152|152201|152702|152752|152802|152852|157003|157152|157552|163352|165502|166652|2096152|2096202|2097102|2152002|2152052|2152102|2152152|2152201|2152702|2152752|2152802|2152852|2157003|2157152|2157552|2163352|2165502|2166652
90300,The Squad will throw a Mk2 'Pineapple' Grenade.,หน่วยจะขว้างระเบิดมือ Mk2 'Pineapple',ยูนิต: คำอธิบาย/tooltip,90300|2090300
90302,Left-click icon and then Left-click Target to throw Grenade.,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายที่เป้าหมายเพื่อขว้างระเบิดมือ,ยูนิต: คำอธิบาย/tooltip,90302|2090302
90350,"While Fired-Up, Squads are less prone to Suppression and move faster for a short time. After the effects of Fire-Up wear off, the squad will suffer from exhaustion, reducing their movement and attack speeds for a short period.",ในขณะที่ Fired-Up ทีมจะมีโอกาสถูกยิงกดดันตรึงพื้นที่น้อยลงและเคลื่อนที่เร็วขึ้นในช่วงเวลาสั้น ๆ หลังจากผลของ Fire-Up หมดลง ทีมจะมีอาการเหนื่อยล้า ความเร็วในการเคลื่อนที่และการโจมตีลดลงในช่วงเวลาสั้น ๆ,ยูนิต: คำอธิบาย/tooltip,90350
90450,"Camouflaged Units can only be detected if they engage in combat or if an Enemy unit is in close proximity. While Camouflage is active, movement speed is reduced.",หน่วยพรางตัวสามารถตรวจพบได้ก็ต่อเมื่อพวกเขาเข้าร่วมการต่อสู้หรือหากหน่วยศัตรูอยู่ใกล้กัน ขณะที่ลายพรางทำงานอยู่ ความเร็วในการเคลื่อนที่จะลดลง,ยูนิต: คำอธิบาย/tooltip,90450|2090450
90501,Excellent Anti Infantry weapon.  Requires set-up time.,อาวุธต่อต้านทหารราบที่ยอดเยี่ยม ต้องใช้เวลาในการติดตั้งฐานยิง,ยูนิต: คำอธิบาย/tooltip,90501
90550,"Deploys Volksgrenadier Squads, Snipers, Heavy Machine Gun teams, Schwimmwagens and Motorcycles.","เคลื่อนกำลังทีม Volksgrenadier, Snipers, ทีมปืนกลหนัก, Schwimmwagens และรถจักรยานยนต์",ยูนิต: คำอธิบาย/tooltip,90550
90601,"Paradrop Munitions, Fuel Supplies, and some heavy weapons to Revealed Territory.","ทิ้งร่มชูชีพส่งยุทโธปกรณ์, เสบียงเชื้อเพลิง และอาวุธหนักบางส่วนไปยังดินแดนที่เปิดเผยแล้ว",ยูนิต: คำอธิบาย/tooltip,90601|2090601
90602,Left-click icon and then Left-click target area.,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายพื้นที่เป้าหมาย,ยูนิต: คำอธิบาย/tooltip,90602|97152|111202|114503|128153|137200|155452|166352|2090602|2094102|2097152|2111202|2114503|2128153|2137200|2155452|2166352|2241802|2242003|2242102|2242253|2242302|2242803|2242852|2242952|2246701|2259500|2259550
90651,"The Lieutenant initiates a charge making all nearby squads immune to suppression, and increasing their offensive and defensive attributes.",ผู้หมวดเริ่มการโจมตีทำให้ทีมใกล้เคียงทั้งหมดมีภูมิคุ้มกันต่อการยิงกดดันตรึงพื้นที่ และเพิ่มคุณสมบัติการโจมตีและการป้องกัน,ยูนิต: คำอธิบาย/tooltip,90651
90800,Left-click icon then Left-click target area and direction.,คลิกซ้ายที่ไอคอน จากนั้นคลิกซ้ายพื้นที่เป้าหมายและทิศทาง,ยูนิต: คำอธิบาย/tooltip,90800|133950|134000|134050|134150|2090800|2100202|2134000|2134150|2136250|2256150|2256601
90901,Replace Casualties. Must be in proximity to an HQ or Halftrack to reinforce.,แทนที่ผู้บาดเจ็บล้มตาย ต้องอยู่ใกล้กับกองบัญชาการหรือ Halftrack เพื่อเสริมกำลัง,ยูนิต: คำอธิบาย/tooltip,90901|91251|95551|95651|95701|95751
90951,Suppression Fire can pin Enemy Troops except when the target is in heavy cover,การยิงกดดัน สามารถยิงตรึงทหารศัตรูได้ ยกเว้นเมื่อเป้าหมายอยู่ในที่กำบังหนาแน่น,ยูนิต: คำอธิบาย/tooltip,90951|2090951
91101,Machine guns are potent threats to infantry targets.,ปืนกลเป็นภัยคุกคามต่อเป้าหมายทหารราบ,ยูนิต: คำอธิบาย/tooltip,91101|2091101
91102,Replace Casualties. Must be in proximity to a Command Truck to reinforce.,แทนที่ผู้บาดเจ็บล้มตาย จะต้องอยู่ใกล้กับ รถบังคับการ เพื่อเสริมกำลัง,ยูนิต: คำอธิบาย/tooltip,91102|95853|99851|100602|2091102|2095853|2099851|2100602
91300,"Makes available the Scout Car, Munitions Halftrack and 250/3 Funkwagen 'Vampire' Halftrack. Upgrades will equip squads with Anti Tank Grenades and increase the size of infantry squads.","จำหน่าย รถลาดตระเวน, Munitions Halftrack และ 250/3 Funkwagen 'Vampire' Halftrack การอัพเกรดจะจัดเตรียมหน่วยด้วย Anti Tank Grenades และเพิ่มขนาดของหน่วยทหารราบ",ยูนิต: คำอธิบาย/tooltip,91300
91400,Capture and Hold these Points to achieve a Capture and Hold Victory.,ยึดครองและยึดคะแนนเหล่านี้เพื่อให้ได้ชัยชนะในการยึดครองและยึดไว้,ยูนิต: คำอธิบาย/tooltip,91400|2091400
91851,The M2 105mm Howitzer provides long range indirect fire support.,M2 105mm Howitzer ให้การสนับสนุนการยิงทางอ้อมในระยะไกล,ยูนิต: คำอธิบาย/tooltip,91851|2091851
91852,105mm Howitzer item from Infantry Commander Tree,ไอเทมปืนใหญ่วิถีโค้ง 105 มม. จากสายบัญชาการทหารราบ,ยูนิต: คำอธิบาย/tooltip,91852
92002,The 88mm Flak 36 provides fearsome Anti Tank and Anti Air firepower.,Flak 36 ขนาด 88 มม. มอบอำนาจการยิงที่น่าเกรงขามในการต่อต้านรถถังและต่อต้านอากาศ,ยูนิต: คำอธิบาย/tooltip,92002|106302|118151|118201|2092002|2106302|2118151|2118201
92051,"Highly experienced officers who led by example fighting from the front. Can Supervise Buildings to improve production, call in Mortar fire on Enemy Units, and Rout Enemy forces.","นายทหารสัญญาบัตรผู้มีประสบการณ์สูงซึ่งเป็นผู้นำในการรบจากแนวหน้า สามารถควบคุมดูแลอาคารเพื่อปรับปรุงการผลิต, สั่งยิงปืนครกถล่มหน่วยศัตรู และทำให้กองกำลังศัตรูแตกพ่ายได้",ยูนิต: คำอธิบาย/tooltip,92051
92102,Can transport and Reinforce Troops in and out of battle. Can be equipped with Wurfrahmen 40 rockets ('Stuka zu Fuss') or Flamethrowers.,สามารถขนส่งและเสริมกำลังทหารเข้าและออกจากการรบได้ สามารถติดตั้งจรวด Wurfrahmen 40 หรือเครื่องพ่นไฟได้,ยูนิต: คำอธิบาย/tooltip,92102|2137751|2137801
92152,The Munitions Halftrack is specially equipped to deliver munitions to front line units. Infantry and vehicles within the support radius of the Munitions Halftrack will rapidly recharge any abilities that make use of munitions.,Munitions Halftrack ได้รับการติดตั้งเป็นพิเศษเพื่อส่งอาวุธไปยังหน่วยแนวหน้า ทหารราบและยานพาหนะที่อยู่ในรัศมีการสนับสนุนของ Munitions Halftrack จะชาร์จความสามารถใดๆ ก็ตามที่ใช้อาวุธได้อย่างรวดเร็ว,ยูนิต: คำอธิบาย/tooltip,92152
92202,This late war Tank matched a Heavy 90mm gun with much stronger armor to produce an Allied Tank that could engage Enemy Panthers and Tigers,รถถังช่วงปลายสงครามนี้จับคู่ปืน Heavy 90 มม. กับเกราะที่แข็งแกร่งกว่ามากเพื่อสร้างรถถังฝ่ายสัมพันธมิตรที่สามารถต่อสู้กับศัตรู Panthers และ Tigers,ยูนิต: คำอธิบาย/tooltip,92202|2137951|2200452|2204601
92302,"Transport and Reinforce Troops, or equip the Halftrack with a Quad .50 cal Turret.",ขนส่งและเสริมกำลังทหาร หรือติดตั้งป้อมปืน Quad .50 cal ให้ Halftrack,ยูนิต: คำอธิบาย/tooltip,92302
92352,"A heavy armored vehicle lacking a turret, the Command Tank imparts bonuses to nearby units in an area-of-effect aura.",พาหนะหุ้มเกราะหนักที่ไม่มีป้อมปืน Command Tank มอบโบนัสให้กับยูนิตใกล้เคียงในออร่าแบบพื้นที่ที่ส่งผล,ยูนิต: คำอธิบาย/tooltip,92352
