id,english,thai,context,all_ids
32265,RESUME,เล่นต่อ,UI: หน้าจอเกม/save-load/แคมเปญ,32265|705279|708004
32266,HELP TEXT HERE,ข้อความช่วยเหลือที่นี่,UI: หน้าจอเกม/save-load/แคมเปญ,32266|708005
32267,Economy and Base Building,เศรษฐกิจและการสร้างฐาน,UI: หน้าจอเกม/save-load/แคมเปญ,32267|75259|708006
32268,Armor Training,การฝึกรบยานเกราะ,UI: หน้าจอเกม/save-load/แคมเปญ,32268|75258|409059|409911|708007
32269,Infantry training,การฝึกทหารราบ,UI: หน้าจอเกม/save-load/แคมเปญ,32269|708008
32270,Basic Training,การฝึกรบขั้นพื้นฐาน,UI: หน้าจอเกม/save-load/แคมเปญ,32270|75256|409022|409050|409915|708011
32271,TUTORIAL MENU,เมนูการฝึกรบ,UI: หน้าจอเกม/save-load/แคมเปญ,32271
38001,"June 6th, 1944.  D-Day.  The allies are about to invade Normandy, France.  Command Able Company as they battle on Omaha Beach, through a secret V2 rocket base, and on the streets of Cherbourg in an attempt to turn the tide of the greatest war of the 20th Century.",6 มิถุนายน 1944 ดีเดย์ ฝ่ายสัมพันธมิตรกำลังจะบุกนอร์มังดี ประเทศฝรั่งเศส บัญชาการกองร้อยเอเบิลเข้าต่อสู้บนหาดโอมาฮา ฝ่าฐานจรวด V2 ลับ และบนท้องถนนของแชร์บูร์ก เพื่อพลิกกระแสสงครามที่ยิ่งใหญ่ที่สุดแห่งศตวรรษที่ 20,UI: หน้าจอเกม/save-load/แคมเปญ,38001
38002,"June 6th, 1944.  D-Day.  Command the American Army as Able Company battles through Normandy to free France from the Wehrmacht Army.",6 มิถุนายน 1944 ดีเดย์ บัญชาการกองทัพสหรัฐ นำกองร้อยเอเบิลต่อสู้ฝ่านอร์มังดีเพื่อปลดปล่อยฝรั่งเศสจากกองทัพแวร์มัคท์,UI: หน้าจอเกม/save-load/แคมเปญ,38002
38010,Omaha Beach. 0700hrs,หาดโอมาฮา. 0700น,UI: หน้าจอเกม/save-load/แคมเปญ,38010
38011,June 6th D-Day,ดีเดย์ 6 มิถุนายน,UI: หน้าจอเกม/save-load/แคมเปญ,38011
38012,Vierville – St. Come du Mont road.,ถนนเวียร์วิลล์-แซงคัม็อดูมงต์,UI: หน้าจอเกม/save-load/แคมเปญ,38012
38013,"0128hrs, June 6th, D-Day",01.28 น. 6 มิถุนายน ดีเดย์,UI: หน้าจอเกม/save-load/แคมเปญ,38013
38014,Vierville –St. Come du Mont road.,ถนนเวียร์วิลล์ - แซงต์กงต์ดูมงต์,UI: หน้าจอเกม/save-load/แคมเปญ,38014
38015,"0302hrs, June 6th, D-Day",03.02 น. 6 มิถุนายน วันดีเดย์,UI: หน้าจอเกม/save-load/แคมเปญ,38015
38016,Carentan. 0735hrs,คาเรนตัน. 07.35น,UI: หน้าจอเกม/save-load/แคมเปญ,38016
38017,"June 12th, D-Day +6",12 มิถุนายน ดีเดย์ +6,UI: หน้าจอเกม/save-load/แคมเปญ,38017
38018,Carentan. 1435hrs,คาเรนตัน. 14.35 น,UI: หน้าจอเกม/save-load/แคมเปญ,38018
38019,"June 13th, D-Day +7",13 มิถุนายน ดีเดย์ +7,UI: หน้าจอเกม/save-load/แคมเปญ,38019
38020,"Liberty Highway, outside Monteburg.",ทางหลวงลิเบอร์ตี้ นอกเมืองมอนเตเบิร์ก,UI: หน้าจอเกม/save-load/แคมเปญ,38020
38021,"1335hrs, June 16th, D-Day +10",13.35 น. 16 มิถุนายน ดีเดย์ +10,UI: หน้าจอเกม/save-load/แคมเปญ,38021
38022,Cherbourg. 1136hrs,เชอร์บูร์ก. 11.36 น,UI: หน้าจอเกม/save-load/แคมเปญ,38022
38023,"June 26th, D-Day +20",26 มิถุนายน ดีเดย์ +20,UI: หน้าจอเกม/save-load/แคมเปญ,38023
38024,Sottevast. 0256hrs,ซอตเตอวาสต์. 0256น,UI: หน้าจอเกม/save-load/แคมเปญ,38024
38025,"June 27th, D-Day +21",27 มิถุนายน ดีเดย์ +21,UI: หน้าจอเกม/save-load/แคมเปญ,38025
38026,St. Fromond. 0551hrs,แซงต์ฟรอมงต์ 05.51 น.,UI: หน้าจอเกม/save-load/แคมเปญ,38026
38027,July 7th. Operation Cobra.,7 กรกฎาคม ปฏิบัติการคอบร้า,UI: หน้าจอเกม/save-load/แคมเปญ,38027
38028,Hill 192. 1830hrs,เนิน 192. 18.30 น,UI: หน้าจอเกม/save-load/แคมเปญ,38028
38029,July 11th. Operation Cobra.,11 กรกฎาคม ปฏิบัติการคอบร้า,UI: หน้าจอเกม/save-load/แคมเปญ,38029
38030,St. Lo. 1439hrs,แซงต์โล 14.39 น.,UI: หน้าจอเกม/save-load/แคมเปญ,38030
38031,July 12th. Operation Cobra,12 กรกฎาคม. ปฏิบัติการคอบร้า,UI: หน้าจอเกม/save-load/แคมเปญ,38031
38032,Near St. Lo. 1125hrs,ใกล้แซงต์โล 11.25 น.,UI: หน้าจอเกม/save-load/แคมเปญ,38032
38033,July 25th D-Day +49,25 กรกฎาคม ดีเดย์ +49,UI: หน้าจอเกม/save-load/แคมเปญ,38033
38034,Hill 317 outside of Mortain.,เนินเขา 317 นอกมอร์แต็ง,UI: หน้าจอเกม/save-load/แคมเปญ,38034
38035,"2003hrs, August 6th. D-Day +61",20.03 น. 6 สิงหาคม ดีเดย์ +61,UI: หน้าจอเกม/save-load/แคมเปญ,38035
38036,Hill 317. 0017hrs,เนิน 317. 00.17 น.,UI: หน้าจอเกม/save-load/แคมเปญ,38036
38037,August 7th. D-Day +62,7 สิงหาคม ดีเดย์ +62,UI: หน้าจอเกม/save-load/แคมเปญ,38037
38038,Mortain. 0612hrs,มอร์แต็ง. 06.12 น,UI: หน้าจอเกม/save-load/แคมเปญ,38038
38039,August 7th,7 สิงหาคม,UI: หน้าจอเกม/save-load/แคมเปญ,38039
38040,East of Autry. 1645hrs,ทางตะวันออกของออทรี 1645น,UI: หน้าจอเกม/save-load/แคมเปญ,38040
38041,August 15th. The Falaise Pocket.,15 สิงหาคม วงล้อมฟาเลส์,UI: หน้าจอเกม/save-load/แคมเปญ,38041
38042,"Chambois, Closing the Falaise Pocket.",ช็องบัวส์ ปิดวงล้อมฟาเลส์,UI: หน้าจอเกม/save-load/แคมเปญ,38042
38043,"1425hrs, August 19th, D-Day +74",14.25 น. 19 สิงหาคม ดีเดย์ +74,UI: หน้าจอเกม/save-load/แคมเปญ,38043
38045,SEGA Presents,เซก้านำเสนอ,UI: หน้าจอเกม/save-load/แคมเปญ,38045
38046,A Relic Entertainment Production,ผลงานสร้างโดย Relic Entertainment,UI: หน้าจอเกม/save-load/แคมเปญ,38046
38070,Requires: %1REQUIREMENTSLIST%,ต้องการ: %1REQUIREMENTSLIST%,UI: หน้าจอเกม/save-load/แคมเปญ,38070
38071,",",",",UI: หน้าจอเกม/save-load/แคมเปญ,38071
38072,...,...,UI: หน้าจอเกม/save-load/แคมเปญ,38072|551020
38073,Must be in territory,จะต้องอยู่ในอาณาเขต,UI: หน้าจอเกม/save-load/แคมเปญ,38073
