id,english,thai,context,all_ids
250010,This is Dog company requesting support!,นี่คือกองร้อย Dog ที่ขอการสนับสนุน!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250010
250020,"Repeat, Dog company requesting support!",ย้ำ กองร้อย Dogขอการสนับสนุน!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250020
250030,OVER!,เปลี่ยน!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250030|250060
250040,We are in the courtyard! North Building!,เราอยู่ในลานบ้าน! ตึกเหนือ!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250040
250050,Taking heavy fire!,เรากำลังถูกระดมยิงอย่างหนัก!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250050
250070,Goddammit! I told them not to overextend the advance!,ให้ตายเถอะ! ฉันบอกพวกเขาว่าอย่าขยายเวลาล่วงหน้ามากเกินไป!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250070
250080,"Alright, we better go bail their asses out.",เอาล่ะ เราไปช่วยพาพวกเขาออกมาดีกว่า,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250080
250090,"Dog, this is Able!",กองร้อยด็อก นี่กองร้อยเอเบิล!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250090
250100,"Hang in there Bishop, we’re on our way!",อดทนไว้ก่อน บิชอป! พวกเรากำลังรีบไปช่วยแล้ว!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250100
250110,"Saddle up people, we’re moving out.",เตรียมตัวให้พร้อม ทหาร เรากำลังจะเคลื่อนพล!,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250110
250120,Listen up.  Dog Company was ambushed. Captain Bishop has requested our support.,ฟังนะ กองร้อยด็อก ถูกซุ่มโจมตี ผู้กองบิชอปขอกำลังสนับสนุนจากเรา,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250120
250130,"The survivors are holding out under heavy fire, we need to relieve them.",ผู้รอดชีวิตกำลังยันไว้ท่ามกลางการระดมยิงอย่างหนัก เราต้องไปช่วยปลดวงล้อมให้พวกเขา,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250130
250141,Dog Company's running out of time.,กองร้อยด็อก กำลังจะยันไม่อยู่แล้ว,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250141
250145,"Get a combat group together, and move out now. Dog won't last long out there. ",จัดกำลังรบรวมพลแล้วเคลื่อนพลเดี๋ยวนี้ กองร้อยด็อกจะยันไว้ได้อีกไม่นาน,บทพูด/ภารกิจ M05 เรดบอลเอ็กซ์เพรส,250145
