id,english,thai,context,all_ids
10000000,Time until next enemy wave,เวลาก่อนศัตรูระลอกถัดไปจะมาถึง,โหมดปฏิบัติการ (Falaise/Causeway),10000000
10000001,Defend the HQ against the various lines of assault!,ปกป้องกองบัญชาการจากการบุกเข้าตีในทุกทิศทาง!,โหมดปฏิบัติการ (Falaise/Causeway),10000001
10000002,You have succeeded in defending the HQ!,คุณปกป้องกองบัญชาการได้สำเร็จ!,โหมดปฏิบัติการ (Falaise/Causeway),10000002
10000003,Team's Kills,ยอดสังหารของทีม,โหมดปฏิบัติการ (Falaise/Causeway),10000003
10000004,Increase your score by defeating the enemy waves.,เพิ่มคะแนนของคุณด้วยการกำจัดศัตรูแต่ละระลอก,โหมดปฏิบัติการ (Falaise/Causeway),10000004
10000005,Enemies Defeated,ศัตรูที่กำจัดได้,โหมดปฏิบัติการ (Falaise/Causeway),10000005
10000006,My Kills,ยอดสังหารของฉัน,โหมดปฏิบัติการ (Falaise/Causeway),10000006
10000007,Each Individual Score is based on your personal performance.,คะแนนส่วนบุคคลจะคำนวณจากผลงานเฉพาะตัวของคุณ,โหมดปฏิบัติการ (Falaise/Causeway),10000007
10000008,Thanks for playing!,ขอบคุณสำหรับการเล่น!,โหมดปฏิบัติการ (Falaise/Causeway),10000008
10000009,Capturing any of these buildings will grant you a bonus.,การยึดสิ่งปลูกสร้างเหล่านี้จะมอบโบนัสพิเศษให้คุณ,โหมดปฏิบัติการ (Falaise/Causeway),10000009
10000010,The Bank been destroyed!,อาคารธนาคารถูกทำลายแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000010
10000011,The Church has been destroyed!,โบสถ์ถูกทำลายแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000011
10000012,The Manor has been destroyed!,คฤหาสน์ถูกทำลายแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000012
10000013,The Garage has been destroyed!,โรงจอดรถถูกทำลายแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000013
10000020,Prepare to defend against the enemy assault! We can build some defenses - they will increase our chances of survival!,เตรียมตั้งรับการเข้าตีของศัตรู! เราสามารถสร้างแนวป้องกันได้ ซึ่งจะช่วยเพิ่มโอกาสรอดชีวิตของเรา!,โหมดปฏิบัติการ (Falaise/Causeway),10000020
10000021,The enemy is attacking from the north!,ศัตรูกำลังโจมตีมาจากทางทิศเหนือ!,โหมดปฏิบัติการ (Falaise/Causeway),10000021
10000022,The enemy is attacking from the east!,ศัตรูกำลังโจมตีมาจากทางทิศตะวันออก!,โหมดปฏิบัติการ (Falaise/Causeway),10000022
10000023,The enemy is attacking from the south!,ศัตรูกำลังโจมตีมาจากทางทิศใต้!,โหมดปฏิบัติการ (Falaise/Causeway),10000023
10000024,The enemy is attacking from the west!,ศัตรูกำลังโจมตีมาจากทางทิศตะวันตก!,โหมดปฏิบัติการ (Falaise/Causeway),10000024
10000025,New unit(s) unlocked in your production menu!,ปลดล็อกยูนิตใหม่ในเมนูการผลิตของคุณ!,โหมดปฏิบัติการ (Falaise/Causeway),10000025
10000026,"Everyone, to your positions!  Here they come!",ทุกคนประจำตำแหน่ง! พวกมันมากันแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000026
10000027,Incoming!! The enemy has sent another force to attack us!,ระวัง!! ศัตรูส่งกองกำลังอีกระลอกเข้ามาโจมตีเราแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000027
10000028,Get to cover!  Incoming rocket attack!,เข้าที่กำบังเร็ว! จรวดกำลังยิงถล่มเข้ามา!,โหมดปฏิบัติการ (Falaise/Causeway),10000028
10000029,Watch out!! They're using artillery to clear their path!,ระวัง!! พวกมันกำลังใช้ปืนใหญ่ระดมยิงเปิดทาง!,โหมดปฏิบัติการ (Falaise/Causeway),10000029
10000030,"This is it, boys! The enemy is desperate and they're gathering what they have left to make a big push from all sides!",ถึงเวลาแล้วพวกเรา! ศัตรูกำลังจนตรอกและระดมกำลังที่เหลือทั้งหมดเพื่อเปิดฉากบุกทะลวงจากทุกด้าน!,โหมดปฏิบัติการ (Falaise/Causeway),10000030
10000031,Get down! Incoming mortar attack!,หมอบลง! ครกกำลังถล่มเข้ามา!,โหมดปฏิบัติการ (Falaise/Causeway),10000031
10000040,You are Player 1!,คุณคือผู้เล่นคนที่ 1!,โหมดปฏิบัติการ (Falaise/Causeway),10000040
10000041,You are Player 2!,คุณคือผู้เล่นคนที่ 2!,โหมดปฏิบัติการ (Falaise/Causeway),10000041
10000043,You are Player 3!,คุณคือผู้เล่นคนที่ 3!,โหมดปฏิบัติการ (Falaise/Causeway),10000043
10000044,You are Player 4!,คุณคือผู้เล่นคนที่ 4!,โหมดปฏิบัติการ (Falaise/Causeway),10000044
10000045,+ %1Amount% Manpower,+ %1Amount% กำลังพล,โหมดปฏิบัติการ (Falaise/Causeway),10000045
10000050,Time until next attack wave,เวลาก่อนการเข้าตีระลอกถัดไป,โหมดปฏิบัติการ (Falaise/Causeway),10000050
10000051,%1Number%:%2Number% until next attack wave!,%1Number%:%2Number% ก่อนการเข้าตีระลอกถัดไป!,โหมดปฏิบัติการ (Falaise/Causeway),10000051
10000052,00,00,โหมดปฏิบัติการ (Falaise/Causeway),10000052
10000053,Wave %1Number%/%2Number%,ระลอกที่ %1Number%/%2Number%,โหมดปฏิบัติการ (Falaise/Causeway),10000053
10000060,Hold this building for extra manpower,ยึดอาคารนี้ไว้เพื่อเพิ่มอัตรากำลังพล,โหมดปฏิบัติการ (Falaise/Causeway),10000060
10000061,Hold this building for a population cap bonus,ยึดอาคารนี้ไว้เพื่อรับโบนัสขีดจำกัดประชากรสูงสุด,โหมดปฏิบัติการ (Falaise/Causeway),10000061
10000062,Hold this building for extra unit healing,ยึดอาคารนี้ไว้เพื่อเพิ่มอัตราการรักษาพยาบาลยูนิต,โหมดปฏิบัติการ (Falaise/Causeway),10000062
10000063,Hold this building for extra vehicle repair,ยึดอาคารนี้ไว้เพื่อเพิ่มอัตราการซ่อมแซมยานพาหนะ,โหมดปฏิบัติการ (Falaise/Causeway),10000063
10000065,Capture buildings to gain special bonuses!,ยึดครองอาคารต่างๆ เพื่อรับโบนัสพิเศษ!,โหมดปฏิบัติการ (Falaise/Causeway),10000065
10000066,"A new ""single shot"" commander ability is available!",ความสามารถผู้บังคับการแบบใช้งานครั้งเดียวใหม่พร้อมใช้งานแล้ว!,โหมดปฏิบัติการ (Falaise/Causeway),10000066
10000100,Capture Territories to earn rewards,ยึดครองอาณาเขตเพื่อรับรางวัล,โหมดปฏิบัติการ (Falaise/Causeway),10000100
10000101,Rewards have been granted here,มอบรางวัลให้ที่นี่แล้ว,โหมดปฏิบัติการ (Falaise/Causeway),10000101
