id,english,thai,context,all_ids
240010,"I’m going to assume that’s grape juice, sergeant.",ฉันจะถือว่านั่นคือน้ำองุ่นจ่าสิบเอก,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240010
240020,"Absolutely, sir.  Grape juice.",อย่างแน่นอนครับท่าน น้ำองุ่น.,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240020
240030,"Well, it was grape juice...",มันคือน้ำองุ่น...,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240030
240040,...about a year ago.,...ประมาณหนึ่งปีที่ผ่านมา,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240040
240041,Want some?  Haaah.  Wait your turn. Hey hey!,ต้องการบ้างไหม? ฮ่าๆ รอก่อน เฮ้ เฮ้!,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240041
240050,<laughter>,<laughter>,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240050|260080
240051,"Mmmm, 1943! That was a nice year. ",อืม 1943! นั่นเป็นปีที่ดี,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240051
240060,"Listen up ladies, R&R is over.",ฟังนะสาวๆ R&R จบแล้ว,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240060
240070,The 17th SS Panzer Division is mobilizing to retake Carentan.,กองพลยานเกราะ SS ที่ 17 กำลังระดมกำลังเพื่อยึดคืน คาเรนตัน,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240070
240080,We just have one job to do here: HOLD THE TOWN.,เรามีหน้าที่เดียวที่ต้องทำที่นี่: รักษาเมืองนี้ไว้ให้ได้,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240080
240090,They need the bridges. We have to defend them. ,พวกมันต้องการข้ามสะพาน เราต้องป้องกันสะพานเหล่านั้นไว้,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240090
240100,"MG Emplacements, mines and wire obstacles at these points will hold off the krauts... for a while.",การตั้งป้อมปืนกล วางทุ่นระเบิด และขึงลวดหนาม ณ จุดเหล่านี้จะช่วยสกัดพวกเยอรมันไว้ได้... ชั่วระยะหนึ่ง,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240100
240101,"MG Emplacements, mines and wire obstacles at these points will hold off the Germans... for a while.",การตั้งป้อมปืนกล วางทุ่นระเบิด และขึงลวดหนาม ณ จุดเหล่านี้จะช่วยสกัดพวกเยอรมันไว้ได้... ชั่วระยะหนึ่ง,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240101
240110,We have a couple of 57mm A-T guns to cover the approaches into the town.,เรามีปืนต่อสู้รถถัง 57 มม. สองสามกระบอกไว้คอยคุมทางเข้าเมือง,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240110
240120,We’ll need to keep them safe.,เราต้องปกป้องปืนพวกนั้นไว้ให้ดี,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240120
240130,Engineers have established a FIELD BARRACKS at the Town Hall and the Church. We can call in reinforcements from these locations at any time.,ทหารช่างได้จัดตั้งค่ายทหารสนามขึ้นที่ศาลาว่าการและโบสถ์แล้ว เราสามารถเรียกกำลังเสริมจากจุดเหล่านี้ได้ตลอดเวลา,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240130
240140,Strategic Points have been spotted across the river at these positions.  Capture them.,มีจุดยุทธศาสตร์ข้ามฟากแม่น้ำอยู่ที่ตำแหน่งเหล่านี้ จงไปยึดครองมันซะ,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240140
240150,"The Jerries will want Carentan back, so let’s dig in and make ‘em pay for it.",พวกเยอรมันจะต้องอยากได้คาเรนตันคืนแน่ ดังนั้นมาขุดสนามเพลาะตั้งรับแล้วทำให้พวกมันต้องชดใช้อย่างสาสม,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240150
240160,Let's go ladies!,ไปกันเถอะสาวๆ!,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240160
240170,Show these bastards what Airborne troops are made of!,แสดงให้พวกเวรนั่นเห็นว่าทหารพลร่มเจ๋งแค่ไหน!,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240170
240240,Goddamn!,ให้ตายเถอะ!,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240240|240270
240250,Fall back!,ถอยทัพ!,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240250|240280|243028
240260,The town square’s overrun. ,จัตุรัสกลางเมืองถูกข้าศึกตีแตกแล้ว,บทพูด/ภารกิจ M04 คารองต็องโต้กลับ,240260|240290
