id,english,thai,context,all_ids
360001,"This is Echo-Bravo five-six-five. I see'em.  They're like sittin' ducks, all lined up.",นี่คือเอ็คโค-บราโว 5-6-5 เห็นเป้าหมายแล้ว พวกมันจอดเรียงเป็นเป้านิ่งให้เรายิงเล่นเลย!,บทพูด/ภารกิจ M15 เสือจนมุม,360001
360002,Whoo-hoo!,ฮูฮู!,บทพูด/ภารกิจ M15 เสือจนมุม,360002
360003,Alright we’re going to make a second pass... stand by...,เอาล่ะ เรากำลังจะบินโฉบเข้าโจมตีรอบสอง... เตรียมพร้อม...,บทพูด/ภารกิจ M15 เสือจนมุม,360003
360005,"Attention Able Company, convoy destroyed",กองร้อยเอเบิล โปรดทราบ ขบวนรถข้าศึกถูกทำลายเรียบร้อยแล้ว,บทพูด/ภารกิจ M15 เสือจนมุม,360005
360006,"We’ll be on station, call us anytime!",เราจะบินตรวจการณ์อยู่ในพื้นที่ เรียกเราได้ตลอดเวลา!,บทพูด/ภารกิจ M15 เสือจนมุม,360006
360020,Troop convoys from the German 7th Army are retreating along these roads. ,ขบวนยานยนต์ลำเลียงพลของกองทัพที่ 7 เยอรมันกำลังถอยร่นไปตามถนนเหล่านี้,บทพูด/ภารกิจ M15 เสือจนมุม,360020
360021,This is their last escape route. It's out job to close it. ,นี่คือเส้นทางหลบหนีสายสุดท้ายของพวกมัน หน้าที่ของเราคือปิดตายมันซะ,บทพูด/ภารกิจ M15 เสือจนมุม,360021
360030,"To cut them off, we gotta link our territory with the Canadians and Polish to our north. ",เพื่อปิดล้อมตัดขาดพวกมัน เราต้องเชื่อมโยงอาณาเขตของเรากับกองทัพแคนาดาและโปแลนด์ทางทิศเหนือ,บทพูด/ภารกิจ M15 เสือจนมุม,360030
360031,"As we advance, secure these bridges. This will bottleneck the Germans and slow down their retreat. ",ในขณะที่เรารุกคืบ จงควบคุมสะพานเหล่านี้ให้ปลอดภัย ซึ่งจะกลายเป็นคอขวดดักพวกเยอรมันและชะลอการถอยร่นของพวกมัน,บทพูด/ภารกิจ M15 เสือจนมุม,360031
360032,"Alright Able Company, this is it.",เอาล่ะ กองร้อยเอเบิล นี่แหละ,บทพูด/ภารกิจ M15 เสือจนมุม,360032
360070,"Ok, territory is secured.",โอเค อาณาเขตปลอดภัยแล้ว,บทพูด/ภารกิจ M15 เสือจนมุม,360070
360071,Territories linked.,เชื่อมต่ออาณาเขตสำเร็จแล้ว,บทพูด/ภารกิจ M15 เสือจนมุม,360071
360108,Look at 'em run!,ดูพวกมันวิ่งสิ!,บทพูด/ภารกิจ M15 เสือจนมุม,360108|1322690
360109,Yah lousy huns! Come back and fight!,ไอ้พวกเยอรมันสวะ! กลับมาสู้กันสิวะ!,บทพูด/ภารกิจ M15 เสือจนมุม,360109
360110,Recon tells us we have incoming Panzers.  They're going to try to break through our lines.,หน่วยลาดตระเวนแจ้งว่ามีรถถังแพนเซอร์กำลังมุ่งหน้ามา พวกมันกำลังจะพยายามตีฝ่าแนวรบของเราออกไป,บทพูด/ภารกิจ M15 เสือจนมุม,360110
360112,"We've closed the Falaise pocket.  Before we break out the cigars, we got some more work to do.",เราปิดวงล้อมฟาเลส์ได้แล้ว แต่ก่อนที่จะจุดซิการ์ฉลอง เรายังมีงานต้องทำต่อ,บทพูด/ภารกิจ M15 เสือจนมุม,360112
360113,"Those Panzers are the last of the German resistance.  If we can knock 'em out, the German 7th Army's as good as dead.",รถถังแพนเซอร์พวกนั้นคือแนวต้านสุดท้ายของเยอรมัน ถ้าเราทำลายพวกมันได้ กองทัพที่ 7 ของเยอรมันก็ไม่ต่างอะไรกับตายทั้งเป็น,บทพูด/ภารกิจ M15 เสือจนมุม,360113
360130,"Too many German convoys are escaping, we need to link up with our allies NOW!",มีขบวนรถเยอรมันหลบหนีไปได้มากเกินไปแล้ว! เราต้องเชื่อมกำลังกับพันธมิตรของเราเดี๋ยวนี้!,บทพูด/ภารกิจ M15 เสือจนมุม,360130
