id,english,thai,context,all_ids
1,%1X%.%2Y%,%1X%.%2Y%,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,1
250,normal,ปกติ,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,250
251,century14,century14,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,251
252,century16,century16,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,252
253,century18,century18,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,253
254,GillSans_18a,GillSans_18a,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,254
255,century14_chat,century14_chat,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,255
280,enable,เปิดใช้งาน,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,280
300,Error,ข้อผิดพลาด,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,300|2700
301,Failed to initialize video card.,ไม่สามารถเริ่มต้นการ์ดวิดีโอได้,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,301
302,Failed to initialize sound card.,ไม่สามารถเริ่มต้นการ์ดเสียงได้,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,302
303,Not enough physical memory to run the game. Your system must have at least 512MB of RAM.,หน่วยความจำกายภาพไม่เพียงพอที่จะรันเกม ระบบของคุณต้องมี RAM อย่างน้อย 512MB,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,303
304,Not enough virtual memory to run the game. Your system total paging files must be at least 768MB. Please consult the manual that came with your OS.,หน่วยความจำเสมือนไม่เพียงพอที่จะรันเกม ไฟล์เพจจิ้งรวมของระบบของคุณต้องมีขนาดอย่างน้อย 768MB โปรดศึกษาคู่มือที่มาพร้อมกับระบบปฏิบัติการของคุณ,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,304
305,Your video card is not supported. In order to run Company of Heroes you must have a Shader Model 1.0 or better Video Card.,การ์ดแสดงผลของคุณไม่รองรับ ในการรัน Company of Heroes คุณต้องมีการ์ดวิดีโอ Shader Model 1.0 หรือดีกว่า,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,305
306,Steam must be running to play this game.  Try again by launching game from Steam.,Steam จะต้องทำงานเพื่อเล่นเกมนี้ ลองอีกครั้งโดยเปิดเกมจาก Steam,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,306
307,Game is not being run as a known Company of Heroes product.  Try again by launching game from Steam.,เกมไม่ได้ดำเนินการในฐานะผลิตภัณฑ์ Company of Heroes ที่เป็นที่รู้จัก ลองอีกครั้งโดยเปิดเกมจาก Steam,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,307
308,No Valid Steam user.  Check you are fully logged in or switch accounts and try again.,ไม่มีผู้ใช้ Steam ที่ถูกต้อง ตรวจสอบว่าคุณเข้าสู่ระบบโดยสมบูรณ์หรือสลับบัญชีแล้วลองอีกครั้ง,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,308
309,Current Steam account does not own this Company of Heroes product.  Switch Steam accounts and try again.,บัญชี Steam ปัจจุบันไม่ได้เป็นเจ้าของผลิตภัณฑ์ Company of Heroes นี้ สลับบัญชี Steam แล้วลองอีกครั้ง,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,309
310,Steam is down or you are not logged in fully.  Please restart your Steam client and try again.,Steam หยุดทำงานหรือคุณไม่ได้เข้าสู่ระบบโดยสมบูรณ์ โปรดรีสตาร์ทไคลเอนต์ Steam ของคุณแล้วลองอีกครั้ง,UI: ระบบ/ปุ่มทั่วไป/ตั้งค่า,310
