id,english,thai,context,all_ids
260010,Wait for my orders,รอคำสั่งของฉัน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260010
260020,The Americans are coming…,ชาวอเมริกันกำลังมา...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260020
260030,Quickly! Over here!,อย่างรวดเร็ว! ตรงนี้!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260030
260040,This place looks deserted...,สถานที่แห่งนี้ดูรกร้าง...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260040
260050,Spread out... and keep your eyes peeled.,แผ่ออกไป...และจับตาดูให้ดี,บทพูด/ภารกิจ M06 แชร์บูร์ก,260050
260060,"Hey, why is it Able Company's always up front getting shot at first?",เฮ้ ทำไมกองร้อยเอเบิลต้องเป็นหน่วยหัวหอกโดนยิงก่อนตลอดเลยวะ?,บทพูด/ภารกิจ M06 แชร์บูร์ก,260060
260070,"Naw Johnson, it’s not Able it just you up front getting shot at first!",เฮ้ จอห์นสัน ไม่ใช่กองร้อยเอเบิลซะหน่อย แค่ตัวนายเองที่โดนยิงหัวหอกประจำ!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260070
260090,Shut up! You’re going to get us all killed.,หุบปาก! คุณกำลังจะทำให้พวกเราทุกคนถูกฆ่าตาย,บทพูด/ภารกิจ M06 แชร์บูร์ก,260090
260100,SNIPER!!!,สไนเปอร์!!!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260100
260110,TAKE COVER!!,หาที่กำบังเร็ว!!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260110
260120,Snipers!,สไนเปอร์!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260120
260130,"Squads, get your men moving and into cover!",หน่วยทั้งหลาย พาคนของคุณเคลื่อนตัวและเข้าที่กำบัง!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260130
260140,"We need support here, call in mortars.",เราต้องการความช่วยเหลือที่นี่ เรียกทหารครกเข้ามา,บทพูด/ภารกิจ M06 แชร์บูร์ก,260140
260150,Sniper is down.,สไนเปอร์ลงแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260150
260160,Sniper is down.  We got the bastard.,สไนเปอร์ลงแล้ว เราเจอไอ้เวรนั่นแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260160
260170,"Cherbourg is surrounded.  They know it and we know it, but the kraut's division won’t surrender.",เมืองเชอร์บูร์กถูกล้อมไว้หมดแล้ว พวกมันรู้และเราก็รู้ แต่กองพลเยอรมันยังไม่ยอมจำนน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260170
260190,"The USS Texas is waiting offshore to provide fire support.  To allow it to come within range, we need to destroy the coastal gun battery located here.",เรือ USS Texas กำลังรออยู่นอกชายฝั่งเพื่อให้การสนับสนุนการยิง เพื่อให้มันเข้ามาในระยะได้ เราต้องทำลายคลังปืนชายฝั่งที่ตั้งอยู่ที่นี่,บทพูด/ภารกิจ M06 แชร์บูร์ก,260190
260200,But first we need to capture this square so the Engineers can set up a forward base of operations. ,แต่ก่อนอื่น เราต้องยึดจัตุรัสนี้ เพื่อให้ทหารช่างสนามสามารถตั้งฐานปฏิบัติการล่วงหน้าได้,บทพูด/ภารกิจ M06 แชร์บูร์ก,260200
260201,Regiment wants us to secure the Town Square so we can establish our base there.,กองทหารต้องการให้เรายึดจัตุรัสกลางเมืองเพื่อตั้งฐานทัพที่นั่น,บทพูด/ภารกิจ M06 แชร์บูร์ก,260201
260202,Let's get it done!,มาทำให้เสร็จกันเถอะ!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260202
260203,Garrison one of these buildings so we can requisition some more troops.,เข้าประจำการในอาคารเหล่านี้สักหลัง เพื่อที่เราจะได้เรียกกำลังพลเพิ่ม,บทพูด/ภารกิจ M06 แชร์บูร์ก,260203
260204,Secure that territory to improve our supplies,รักษาดินแดนนั้นไว้เพื่อปรับปรุงเสบียงของเรา,บทพูด/ภารกิจ M06 แชร์บูร์ก,260204
260210,Backup is here! Wooohooo!,กำลังเสริมมาแล้ว! วู้ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260210
260220,"Yeah, that’s right you Krauts, run!",ใช่แล้ว ถูกต้องแล้วคุณ Krauts วิ่งสิ!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260220
260230,Holy shit! Panzerschrecks!,ฉิบหายแล้ว! เครื่องยิงจรวด Panzerschreck!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260230
260240,Sherman’s down!,เชอร์แมนล้มแล้ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260240
260241,Look out! Ostwind inbound!,ระวัง ออสท์วินด์เข้าแล้ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260241
260242,Jerry's on the run!  Keep firing!,เจอร์รี่หนี! ยิงต่อไป!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260242
260243,The Germans are retreating.,ชาวเยอรมันกำลังถอยทัพ,บทพูด/ภารกิจ M06 แชร์บูร์ก,260243
260244,Alright! They're pulling back. ,เยี่ยม! พวกมันกำลังถอยร่นแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260244
260250,The square is secure,จัตุรัสกลางเมืองปลอดภัยแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260250
260260,Square secured.  The Engineers are on their way,จัตุรัสปลอดภัยแล้ว ทหารช่างกำลังเดินทางมา,บทพูด/ภารกิจ M06 แชร์บูร์ก,260260
260270,The square is ours,จัตุรัสเป็นของเราแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260270
260280,The Germans are on their heels,พวกเยอรมันกำลังเพลี่ยงพล้ำถอยร่นไม่เป็นขบวนแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260280
260290,We’re going to need to drive hard all the way to their main garrison at the port facility and take it out,เราต้องรุกกระหน่ำไปจนถึงที่มั่นหลักของพวกมันที่ท่าเรือแล้วทำลายมันซะ,บทพูด/ภารกิจ M06 แชร์บูร์ก,260290
260300,*CUT*,*ตัด*,บทพูด/ภารกิจ M06 แชร์บูร์ก,260300
260350,Those are hardened bunkers!  Use satchels or demolitions to take them out!,นั่นมันบังเกอร์คอนกรีตเสริมเหล็ก! ใช้ระเบิดแรงสูงหรือดินระเบิดทำลายมันซะ!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260350
260360,Get some Engineers up there!,ส่งทหารช่างขึ้นไปตรงนั้นเร็ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260360
260362,Coastal Battery breached.  Target the magazine to knock the guns out.,เจาะเข้าป้อมปืนใหญ่ชายฝั่งได้แล้ว! เล็งเป้าไปที่คลังกระสุนเพื่อทำลายปืนพวกมัน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260362
260363,The door's blown!  Target the magazine!,ระเบิดประตูพังแล้ว! ยิงคลังกระสุนเลย!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260363
260438,"Thank you ABLE, we're already on station. Your fire mission is inbound. ",ขอบคุณกองร้อยเอเบิล เราประจำสถานีรบแล้ว กำลังยิงสนับสนุนตามพิกัดของคุณกำลังไป,บทพูด/ภารกิจ M06 แชร์บูร์ก,260438
260439,Able Company to USS Texas. The coastal battery has been silenced. You may approach and fire at will!,กองร้อยเอเบิล ถึงเรือ ยูเอสเอส เท็กซัส ป้อมปืนใหญ่ชายฝั่งถูกทำลายแล้ว คุณสามารถแล่นเรือเข้าใกล้และยิงได้ตามอัธยาศัย!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260439
260440,FUCK! STOP!! SHIT!,เชี่ยเอ๊ย! หยุด!! ฉิบหาย!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260440
260450,ENOUGH! STOOOOOOOP!,พอแล้ว! หยุดดดดดด!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260450
260452,misc. soft whimperings,เบ็ดเตล็ด เสียงครวญครางเบา ๆ,บทพูด/ภารกิจ M06 แชร์บูร์ก,260452
260453,"no, please, no more..",ไม่ ได้โปรด อย่าอีกต่อไป..,บทพูด/ภารกิจ M06 แชร์บูร์ก,260453
260460,We’re under heavy fire here!,เรากำลังถูกระดมยิงอย่างหนักที่นี่!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260460
260470,We’re taking heavy fire from across the canal!,เรากำลังถูกระดมยิงอย่างหนักจากฝั่งตรงข้ามคลอง!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260470
260490,"Without armor, it’s murder to stay in the open. ",หากไม่มียานเกราะคอยหนุน การอยู่ในที่โล่งแจ้งก็ไม่ต่างจากการฆ่าตัวตาย,บทพูด/ภารกิจ M06 แชร์บูร์ก,260490
260491,That German officer is spotting for their artillery. ,นายทหารเยอรมันคนนั้นกำลังชี้เป้าให้ปืนใหญ่ของพวกมัน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260491
260492,Take out that officer and we can silence their guns,กำจัดนายทหารคนนั้นแล้วเราจะหยุดปืนใหญ่ของพวกมันได้,บทพูด/ภารกิจ M06 แชร์บูร์ก,260492
260493,Look out! Incoming!,ระวัง! กระสุนมาแล้ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260493
260494,"That did it. Without a spotter, their artillery shouldn't give us any more grief",สำเร็จแล้ว ถ้าไม่มีพลชี้เป้า ปืนใหญ่พวกมันก็ทำอะไรเราไม่ได้อีกต่อไป,บทพูด/ภารกิจ M06 แชร์บูร์ก,260494
260495,Artillery spotter eliminated.  Good work Able Company.,กำจัดพลชี้เป้าปืนใหญ่แล้ว ทำได้ดีมากกองร้อยเอเบิล,บทพูด/ภารกิจ M06 แชร์บูร์ก,260495
260531,The Germans are reinforcing their armor from the south.,พวกเยอรมันกำลังส่งยานเกราะเสริมเข้ามาจากทางใต้,บทพูด/ภารกิจ M06 แชร์บูร์ก,260531
260532,"Until we take out their motorpool, our flank won't be secure.",จนกว่าเราจะทำลายโรงซ่อมบำรุงยานยนต์ของพวกมัน ปีกข้างของเราจะไม่มีวันปลอดภัย,บทพูด/ภารกิจ M06 แชร์บูร์ก,260532
260533,"There's the Motorpool. Destroy it, and we can cut off their armor support",นั่นไงโรงซ่อมบำรุงยานยนต์ ทำลายมันซะ แล้วเราจะตัดกำลังสนับสนุนยานเกราะของพวกมันได้,บทพูด/ภารกิจ M06 แชร์บูร์ก,260533
260534,Excellent! The motorpool is destroyed.,ยอดเยี่ยม! โรงซ่อมบำรุงยานยนต์ถูกทำลายแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260534
260535,We've secured a forward Motorpool.,เรายึดโรงซ่อมบำรุงยานยนต์ส่วนหน้าได้แล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260535
260621,The pier is secure. Well done!,ท่าเรือปลอดภัยแล้ว ทำได้ดีมาก!,บทพูด/ภารกิจ M06 แชร์บูร์ก,260621
260623,The north pier is destroyed. The port is crippled. ,ท่าเรือทางเหนือถูกทำลาย ท่าเรือก็พัง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260623
260631,German demolition teams are placing explosive charges on the north pier,ทีมทำลายล้างของเยอรมันกำลังวางระเบิดที่ท่าเรือทางเหนือ,บทพูด/ภารกิจ M06 แชร์บูร์ก,260631
260632,We need this port intact. ,เราต้องการท่าเรือนี้ในสภาพสมบูรณ์,บทพูด/ภารกิจ M06 แชร์บูร์ก,260632
260641,The Krauts are never going to give up unless we destroy their command structure,พวกเยอรมันจะไม่มีวันยอมแพ้ เว้นแต่เราจะทำลายศูนย์บัญชาการของพวกมัน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260641
260642,We've got to bring the whole HQ complex down on their heads.,เราต้องถล่มศูนย์บัญชาการทั้งหมดให้พังทับหัวพวกมัน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260642
260644,Don't stop attacking until every every building is reduced to rubble.,อย่าหยุดโจมตีจนกว่าอาคารทุกหลังจะพังราบเป็นหน้ากลอง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260644
260650,"This is it, they’ve got nowhere to go",ถึงคราวแล้ว พวกมันไม่มีทางหนีอีกต่อไป,บทพูด/ภารกิจ M06 แชร์บูร์ก,260650
260660,We’ve got 'em  between the devil and the deep blue sea.,เราต้อนพวกมันจนมุมจนไร้ทางหนีแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260660
260670,Alright keep moving...,เอาล่ะ เดินหน้าต่อไป...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260670
260680,"…that's it, let's go...",…แค่นั้นแหละ ไปกันเลย…,บทพูด/ภารกิจ M06 แชร์บูร์ก,260680
260690,"...that’s right Fritz, war’s over. Let’s go...",...ถูกต้องแล้ว ฟริตซ์ สงครามจบลงแล้ว ไปกันเถอะ...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260690
260700,"Sergeant Conti, HQ has something special for us, we’re moving out.",จ่าคอนติ กองบัญชาการมีภารกิจพิเศษให้เรา เราจะเคลื่อนพลกันแล้ว,บทพูด/ภารกิจ M06 แชร์บูร์ก,260700
260710,"I’ve been told we captured over 40,000 German prisoners in Cherbourg.","ผมได้รับรายงานว่าเราจับกุมเชลยศึกเยอรมันได้มากกว่า 40,000 นายในเชอร์บูร์ก",บทพูด/ภารกิจ M06 แชร์บูร์ก,260710
260720,"It was hard to accept that we fought so hard for this port, and all we got was a huge ruin.",ยากที่จะทำใจยอมรับว่าเราสู้แทบตายเพื่อแย่งชิงท่าเรือนี้ แต่สิ่งที่เราได้มากลับมีแต่ซากปรักหักพัง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260720
260730,The Germans had destroyed it so badly that it was months before we could use it.,พวกเยอรมันทำลายมันจนพินาศย่อยยับ กว่าเราจะเปิดใช้งานได้ก็ต้องใช้เวลาอีกหลายเดือน,บทพูด/ภารกิจ M06 แชร์บูร์ก,260730
260740,Taking the city did have its perks though...,แต่การยึดเมืองนี้ก็ยังมีสิ่งตอบแทนที่คุ้มค่าอยู่บ้าง...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260740
260750,Hidden in a bunker we found secret Nazi documents...,ในบังเกอร์ลับ เราได้พบกับเอกสารลับของพวกนาซี...,บทพูด/ภารกิจ M06 แชร์บูร์ก,260750
260760,Here are schematics of the actual V2 rocket itself.,นี่คือแบบแปลนของจรวด V2 ของจริง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260760
260770,The launch base is hidden in a valley to the south near the town of Sottevast.,ฐานยิงถูกซ่อนอยู่ในหุบเขาทางใต้ใกล้เมืองซอตเตอวาสต์,บทพูด/ภารกิจ M06 แชร์บูร์ก,260770
260780,It appears to be half buried in the hillside and is still under construction.,ดูเหมือนว่ามันจะถูกฝังอยู่ครึ่งหนึ่งในไหล่เขาและยังอยู่ระหว่างการก่อสร้าง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260780
260791,"The launch platform itself is heavily defended, ruling out a direct bomber strike",ตัวฐานปล่อยจรวดมีแนวป้องกันแน่นหนามาก ทำให้ไม่สามารถใช้เครื่องบินทิ้งระเบิดโจมตีตรงๆ ได้,บทพูด/ภารกิจ M06 แชร์บูร์ก,260791
260792,Therefore this will be an airborne operation.,ดังนั้น นี่จึงต้องเป็นปฏิบัติการของทหารพลร่ม,บทพูด/ภารกิจ M06 แชร์บูร์ก,260792
260793,"After nightfall, we will land paratroopers within the perimeter walls of the base and assault the launch platform on foot.",เมื่อพลบค่ำ เราจะส่งทหารพลร่มลงสู่พื้นหลังแนวกำแพงของฐาน แล้วเดินเท้าเข้าตีฐานปล่อยจรวด,บทพูด/ภารกิจ M06 แชร์บูร์ก,260793
260794,This is a highly dangerous mission.  Godspeed.,นี่เป็นภารกิจที่อันตรายอย่างยิ่ง ขอให้พระคุ้มครอง,บทพูด/ภารกิจ M06 แชร์บูร์ก,260794
263001,First squad!  Get some bazookas on that tank!,หมู่หนึ่ง! เอาปืนบาซูก้ายิงใส่รถถังนั่นเร็ว!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263001
263002,We're under fire!  Bring in the Ostwind!,เรากำลังถูกยิง! นำรถถังออสต์วินด์ เข้ามา!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263002
263003,Call in the Puma!,เรียกรถหุ้มเกราะพูม่า เข้ามา!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263003
263004,The Americans are attacking!  We need the Ostwind!,พวกอเมริกันกำลังบุก! เราต้องการรถถังออสต์วินด์!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263004
263005,We cannot let the Americans take the Town Hall!,เราจะปล่อยให้พวกอเมริกันยึดศาลาว่าการเมืองไม่ได้เด็ดขาด!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263005|263008
263006,Command post under attack!,ที่บัญชาการกำลังถูกโจมตี!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263006
263007,Deploy the Ostwind!,เคลื่อนพลออสวินด์!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263007
263010,"Able Company, we need to keep pushing forward and take out that Coastal Gun Battery",กองร้อยเอเบิล เราต้องรุกต่อไปและทำลายฐานปืนใหญ่ชายฝั่ง นั่นซะ,บทพูด/ภารกิจ M06 แชร์บูร์ก,263010
263011,"The Coastal Gun Battery is our next objective.  Keep the advance moving, Able Company.",ฐานปืนใหญ่ชายฝั่งคือเป้าหมายต่อไปของเรา รุกคืบต่อไป กองร้อยเอเบิล,บทพูด/ภารกิจ M06 แชร์บูร์ก,263011
263012,Do not let them cross the road!,อย่าปล่อยให้พวกเขาข้ามถนน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263012
263013,Bring in the Panzergroupen!,นำ Panzergroupen เข้ามา!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263013
263014,Defensive perimeter along the road!,แนวป้องกันริมถนน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263014
263015,Enemy armor!  Panzerschreck team now!,เกราะศัตรู! ทีม Panzerschreck ตอนนี้!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263015
263016,Establish a defensive perimeter along the road!,สร้างแนวป้องกันตามแนวถนน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263016
263017,Target the American squads!,มุ่งเป้าไปที่ทีมอเมริกัน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263017
263018,Defend the road!,ปกป้องถนน!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263018
263019,Panzerschrecks... Target the American tank!,Panzerschrecks... มุ่งเป้าไปที่รถถังอเมริกา!,บทพูด/ภารกิจ M06 แชร์บูร์ก,263019
263020,Move move move,ย้ายย้ายย้าย,บทพูด/ภารกิจ M06 แชร์บูร์ก,263020
