id,english,thai,context,all_ids
400000,Welcome to Company of Heroes.,ยินดีต้อนรับสู่กองร้อยฮีโร่,บทเรียน/เทรนนิ่ง,400000
400010,"COMPANY OF HEROES is a Real-Time Strategy Game that focuses on frontline combat, capturing key strategic points, and leading your company to victory.",COMPANY OF HEROES เป็นเกมวางแผนแบบเรียลไทม์ที่เน้นการต่อสู้แนวหน้า ยึดจุดยุทธศาสตร์สำคัญ และนำกองร้อยของคุณไปสู่ชัยชนะ,บทเรียน/เทรนนิ่ง,400010
400900,Click CONTINUE,คลิกดำเนินการต่อ,บทเรียน/เทรนนิ่ง,400900|407015|407500
400920,You have no unit currently selected. Left-Click on a unit to select it.,คุณไม่ได้เลือกหน่วยในขณะนี้ คลิกซ้ายที่หน่วยเพื่อเลือก,บทเรียน/เทรนนิ่ง,400920|407016|407501
400925,Click on the flashing button on the Command Panel.,คลิกที่ปุ่มกระพริบบนแผงคำสั่ง,บทเรียน/เทรนนิ่ง,400925|407017|407502
400930,Good.,ดี.,บทเรียน/เทรนนิ่ง,400930|401133|407038|407515
400940,Well done.,ทำได้ดี.,บทเรียน/เทรนนิ่ง,400940|407039|407516
400950,Excellent.,ยอดเยี่ยม.,บทเรียน/เทรนนิ่ง,400950|405580|407040|407158|407517
400960,Select your Riflemen squad.,เลือกทีมไรเฟิลแมนของคุณ,บทเรียน/เทรนนิ่ง,400960
400961,Select your Paratrooper squad.,เลือกหมู่ทหารพลร่มของคุณ,บทเรียน/เทรนนิ่ง,400961
400962,Select your Engineer squad.,เลือกทีมทหารช่างสนามของคุณ,บทเรียน/เทรนนิ่ง,400962
400963,Select your Heavy Machine Gun Team.,เลือกทีมปืนกลหนักของคุณ,บทเรียน/เทรนนิ่ง,400963
400964,Select your Sherman Tank.,เลือกรถถังเชอร์แมนของคุณ,บทเรียน/เทรนนิ่ง,400964
400965,Select your Crocodile Tank.,เลือกรถถังคร็อกโคไดล์ ของคุณ,บทเรียน/เทรนนิ่ง,400965
400966,Select your HQ.,เลือกกองบัญชาการของคุณ,บทเรียน/เทรนนิ่ง,400966
400967,Select your Barracks.,เลือกค่ายทหารของคุณ,บทเรียน/เทรนนิ่ง,400967
400968,Select the local building.,เลือกอาคารท้องถิ่น,บทเรียน/เทรนนิ่ง,400968|407026
400969,Select your Units.,เลือกหน่วยของคุณ,บทเรียน/เทรนนิ่ง,400969|407027
400970,You have de-selected your squad. LEFT-CLICK on your Riflemen squad to select it.,คุณได้ยกเลิกการเลือกทีมของคุณ คลิกซ้ายที่ทีมไรเฟิลแมนของคุณเพื่อเลือก,บทเรียน/เทรนนิ่ง,400970
400971,You have de-selected your squad. LEFT-CLICK on your Paratrooper squad to select it.,คุณได้ยกเลิกการเลือกทีมของคุณ คลิกซ้ายที่หมู่ทหารพลร่มของคุณเพื่อเลือก,บทเรียน/เทรนนิ่ง,400971
