id,english,thai,context,all_ids
6000001,Assault the town of Villers-Bocage and prevent the British 2nd Army from flanking the Panzer Lehr Division and reaching Caen.,เข้าตีเมืองวีแลร์-โบกาฌ และป้องกันไม่ให้กองทัพที่ 2 ของอังกฤษขนาบข้างกองพลยานเกราะเลร์ และรุกคืบไปยังเมืองก็อง,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000001
6000050,Villers-Bocage: Birth of a Legend,วีแลร์-โบกาฌ: กำเนิดแห่งตำนาน,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000050
6000052,VILL1,VILL1,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000052
6000054,Tank Commander Hauptmann Maximillian Voss and Gunner Feldwebel Joseph Shultz ambush an unsuspecting British convoy from the famed Desert Rats!,ผู้บังคับการรถถัง ร้อยเอกฟอสส์ และพลปืน จ่าสิบเอกชูลทซ์ ซุ่มโจมตีขบวนรถอังกฤษจากหน่วยหนูทะเลทราย อันเลื่องชื่อ!,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000054
6000056,"Villers-Bocage, Normandy.","วีแลร์-โบกาฌ, นอร์มังดี",แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000056|6000066|6000076
6000058,0717hrs. June 13th 1944,07:17 น. 13 มิถุนายน 1944,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000058
6000060,Retreat from Villers-Bocage,การถอนตัวจากวีแลร์-โบกาฌ,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000060
6000062,VILL2,VILL2,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000062
6000064,"After successfully halting the British 7th Armoured Division ""the Desert Rats,"" Voss orders his crew to abandon their disabled tank. The Tigergruppe must escape Villers-Bocage on foot and head back to Point 213.","หลังหยุดยั้งกองพลยานเกราะที่ 7 ของอังกฤษ """"หนูทะเลทราย"""" ได้สำเร็จ ร้อยเอกฟอสส์สั่งให้ลูกเรือสละรถถังที่ใช้งานไม่ได้ กลุ่มไทเกอร์ ต้องหลบหนีออกจากวีแลร์-โบกาฌด้วยการเดินเท้าและมุ่งหน้ากลับสู่เนิน 213",แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000064
6000068,1026hrs. June 13th 1944,10:26 น. 13 มิถุนายน 1944,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000068
6000070,An Ace Reborn,การกำเนิดใหม่ของเอซ,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000070
6000072,VILL3,VILL3,แคมเปญไทเกอร์เอซ (บทพูดเยอรมัน),6000072
