id,english,thai,context,all_ids
369001,"Chambois, 1425hrs August 19th","ช็องบัวส์, 14:25 น. วันที่ 19 สิงหาคม",บทพูด/ภารกิจ M16 ช็องบัว,369001
369020,Close the Falaise Pocket,ปิดวงล้อมฟาเลส์,บทพูด/ภารกิจ M16 ช็องบัว,369020
369022,Control the 4 bridges,ควบคุมสะพานทั้ง 4 แห่ง,บทพูด/ภารกิจ M16 ช็องบัว,369022
369023,Territory Disconnected! We can no longer call in Artillery!,อาณาเขตถูกตัดการเชื่อมต่อ! เราไม่สามารถเรียกปืนใหญ่ได้อีกต่อไป!,บทพูด/ภารกิจ M16 ช็องบัว,369023
369024,You've won the battle of Chambois and closed the Falaise pocket,คุณชนะศึกที่ช็องบัวส์ และปิดวงล้อมฟาเลส์ได้สำเร็จ,บทพูด/ภารกิจ M16 ช็องบัว,369024
369025,Axis Convoy Sighted!,ตรวจพบขบวนยานยนต์ฝ่ายอักษะ!,บทพูด/ภารกิจ M16 ช็องบัว,369025
369030,Link the southern territory sectors with the Canadian frontlines to the north. Capture the indicated Points to close the Falaise Pocket in time!,เชื่อมต่อเซกเตอร์อาณาเขตทางใต้เข้ากับแนวหน้าของกองทัพแคนาดาทางทิศเหนือ ยึดจุดยุทธศาสตร์ที่กำหนดเพื่อปิดวงล้อมฟาเลส์ให้ทันเวลา!,บทพูด/ภารกิจ M16 ช็องบัว,369030
369031,Destroy Axis Convoys,ทำลายขบวนยานยนต์ฝ่ายอักษะ,บทพูด/ภารกิจ M16 ช็องบัว,369031
369032,Maintain the territory connection and stop the Germans from punching a hole through the territory line; make sure to destroy all enemy armor.,รักษาแนวเชื่อมต่ออาณาเขตและสกัดกั้นพวกเยอรมันไม่ให้เจาะผ่านแนวเข้ามาได้ ทำลายยานเกราะศัตรูทั้งหมดให้สิ้นซาก,บทพูด/ภารกิจ M16 ช็องบัว,369032
369033,Destroy all retreating Axis Convoys before they escape through Chambois. Controlling the bridges will limit the Convoy's escape routes.,ทำลายขบวนยานยนต์ฝ่ายอักษะที่กำลังถอยร่นทั้งหมดก่อนที่พวกมันจะหนีผ่านช็องบัวส์ ไปได้ การควบคุมสะพานจะช่วยจำกัดเส้นทางหลบหนีของขบวนรถ,บทพูด/ภารกิจ M16 ช็องบัว,369033
369034,Capture this Bridge,ยึดสะพานนี้,บทพูด/ภารกิจ M16 ช็องบัว,369034
369035,Connect Territory Allied Forces.,เชื่อมต่ออาณาเขตเข้ากับกองกำลังสัมพันธมิตร,บทพูด/ภารกิจ M16 ช็องบัว,369035
369041,7th Army,กองทัพที่ 7,บทพูด/ภารกิจ M16 ช็องบัว,369041
369042,Canadian 4th Infantry Division,กองพลทหารราบที่ 4 ของแคนาดา,บทพูด/ภารกิจ M16 ช็องบัว,369042
369050,Bridge Captured,ยึดสะพานได้แล้ว,บทพูด/ภารกิจ M16 ช็องบัว,369050|1469101
369052,45 minutes remaining,เหลือเวลาอีก 45 นาที,บทพูด/ภารกิจ M16 ช็องบัว,369052
369053,30 minutes remaining,เหลือเวลาอีก 30 นาที,บทพูด/ภารกิจ M16 ช็องบัว,369053
369126,55 minutes left!,เหลือเวลาอีก 55 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369126
369127,40 minutes left!,เหลือเวลาอีก 40 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369127
369128,30 minutes left!,เหลือเวลาอีก 30 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369128
369129,20 minutes left!,เหลือเวลาอีก 20 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369129
369130,15 minutes left!,เหลือเวลาอีก 15 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369130
369132,10 minutes left!,เหลือเวลาอีก 10 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369132
369133,5 minutes left!,เหลือเวลาอีก 5 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369133
369134,2 minutes left!,เหลือเวลาอีก 2 นาที!,บทพูด/ภารกิจ M16 ช็องบัว,369134
369920,Objective Completed: Connect your territory to the Allies before time runs out!,เป้าหมายสำเร็จ: เชื่อมต่ออาณาเขตของคุณกับฝ่ายสัมพันธมิตรก่อนหมดเวลา!,บทพูด/ภารกิจ M16 ช็องบัว,369920
369940,"NIS16_01 """"","NIS16_01 """"",บทพูด/ภารกิจ M16 ช็องบัว,369940
369941,"NIS16_02 """"","NIS16_02 """"",บทพูด/ภารกิจ M16 ช็องบัว,369941
369950,Inflict 300 Casualties.,สร้างความสูญเสียให้ข้าศึก 300 นาย,บทพูด/ภารกิจ M16 ช็องบัว,369950
369951,Inflict as many casualties you can on the 7th Army.,สร้างความสูญเสียให้แก่กองทัพที่ 7 ของเยอรมันให้ได้มากที่สุด,บทพูด/ภารกิจ M16 ช็องบัว,369951
