id,english,thai,context,all_ids
280110,Watch out!,ระวัง!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280110|280151|280156
280120,What the hell?,อะไรวะ?,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280120|280152|280157
280130,"Hey, what is that thing?",เฮ้ สิ่งนั้นคืออะไร?,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280130|280153|280158
280150,GET BACK!!!,กลับมา!!!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280150|280155|280161
280250,Bridge repair has begun.,เริ่มซ่อมแซมสะพานแล้ว,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280250
280271,"Repair team under fire, secure the area!",ทีมซ่อมกำลังถูกยิง! ตรึงพื้นที่ไว้!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280271
280272,Engineers taking heavy fire!,ทหารช่างกำลังถูกระดมยิงอย่างหนัก!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280272
280273,Get some support squads up to the bridge and cover those Engineers!,รับทีมสนับสนุนขึ้นไปบนสะพานและดูแลทหารช่างสนามเหล่านั้น!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280273
280274,MGs across the river!  Knock out those strongholds!,ปืนกลอยู่อีกฝั่งแม่น้ำ! ทำลายฐานที่มั่นพวกนั้นให้หมด!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280274
280275,Deploy mortar teams to take out those MGs!,จัดวางทีมครกเพื่อกำจัด MG เหล่านั้น!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280275
280276,Engineers down!  Get another squad to the bridge.,ทหารช่างสนามลง! รับทีมอื่นไปที่สะพาน,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280276
280280,The bridge is almost done. Get everyone ready to storm the town!,สะพานใกล้เสร็จแล้ว เตรียมทุกคนให้พร้อมที่จะบุกโจมตีเมือง!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280280
280330,Incoming!,กำลังมา!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280330|1371100|9420987
280341,Get your heads down! Rockets incoming!,ก้มหัวลง! ร็อคเก็ตส์มา!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280341
280350,Rockets inbound! Take cover!,จรวดกำลังมาแล้ว! หาที่กำบังเร็ว!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280350
280380,Jesus! They’ve got Screaming Mimis here!,พระเยซู! พวกเขามี Screaming Mimis ที่นี่!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280380
280385,Enemy battery ahead...,ฐานปืนใหญ่ข้าศึกอยู่ข้างหน้า...,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280385
280400,Nebelwerfer site spotted.,พบตำแหน่งเครื่องยิงจรวดเนเบิลแวร์เฟอร์!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280400
280406,The krauts have those rockets dug in,พวกเยอรมันตั้งฐานเครื่องยิงจรวดขุดหลุมหลบภัยไว้อย่างดี,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280406
280410,We’ve got a Nebelwerfer site here,เราพบตำแหน่งเครื่องยิงจรวดเนเบิลแวร์เฟอร์ที่นี่,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280410
280417,Nebelwerfer... ,เนเบลเวอร์เฟอร์...,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280417
280420,There’s another rocket launcher,มีเครื่องยิงจรวดอีกเครื่องหนึ่ง,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280420
280428,Nebelwerfer confirmed.,เนเบลเวอร์เฟอร์ยืนยันแล้ว,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280428
280430,Nebelwerfer battery spotted. They got a guard detail. ,พบกองร้อยเครื่องยิงจรวดเนเบิลแวร์เฟอร์ พวกมันมีทหารคุ้มกันด้วย,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280430
280470,"Able Company, good job.  We got 'em all.",กองร้อยเอเบิล ทำได้ดีมาก เราจัดการพวกมันได้หมดแล้ว,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280470
280520,The bridge is repaired.  Let's take the Town Square.,สะพานซ่อมเสร็จแล้ว ไปยึดจัตุรัสกลางเมืองกันเลย,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280520
280530,St. Fromond secured!,เมืองแซงต์ฟรอมงด์ ปลอดภัยแล้ว!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280530
280540,Hey! They’ve got an entire headquarters right on the edge of the town!,เฮ้! พวกมันมีศูนย์บัญชาการตั้งอยู่ตรงชานเมืองเลย!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280540
280560,The 38th SS Headquarters has been located just outside of town.,พบที่ตั้งศูนย์บัญชาการกองพลเอสเอสที่ 38 อยู่บริเวณนอกเมือง,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280560
280620,Panzers!!!! They’ve got Panzers!!,แพนเซอร์!!!! พวกมันมีแพนเซอร์!!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280620
280670,We have lost contact with Charlie Company.,เราขาดการติดต่อกับกองร้อยชาร์ลี,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280670
280680,Their orders were to take Hill 192. They failed.,คำสั่งของพวกเขาคือการยึดเนิน 192 แต่พวกเขาล้มเหลว,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280680
280690,We know that the elite Panzer Lehr division has been assigned to defend St Lo.,เรารู้มาว่ากองพลพันเซอร์เลฮร์ ชั้นยอดได้รับมอบหมายให้ป้องกันเมืองแซงต์โล,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280690
280700,"Before we can take St. Lo, Able company needs to capture Hill 192",ก่อนที่เราจะเข้ายึดเมืองแซงต์โล ได้ กองร้อยเอเบิล จะต้องยึดเนิน 192 ให้ได้เสียก่อน,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280700
280710,Panzer ace Joseph Gunter Shultz has been spotted in the area.,พบยอดฝีมือรถถัง โยเซฟ กุนเทอร์ ชูลทซ์ อยู่ในพื้นที่นี้,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,280710
281110,The bridge to St. Fromond is out of action.,สะพานข้ามสู่เมืองแซงต์ฟรอมงด์พังใช้งานไม่ได้,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,281110
281120,We need to start repairs.,เราต้องเริ่มการซ่อมแซม,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,281120
281130,"Engineers! On that bridge, pronto!",ทหารช่าง! ไปซ่อมสะพานนั่น ด่วนที่สุด!,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,281130
281140,Get those engineers working. They won't repair the bridge on their own.,สั่งทหารช่างให้ลงมือทำงาน พวกเขาไม่ซ่อมสะพานเองถ้าไม่สั่งนะ,บทพูด/ภารกิจ M08 ปืนใหญ่ประชัน,281140
