id,english,thai,context,all_ids
230010,"I’m telling ya... Yankees and Cubs, Game One, Thirty-Eight World Series. Lefty Gomez was the winning pitcher!",ฉันบอกแกแล้ว... แยงกี้ส์กับคับส์ เกมหนึ่ง เวิลด์ซีรีส์ปี 38 เลฟตี โกเมซ เป็นพิทเชอร์ตัวจริงที่พาทีมชนะ!,บทพูด/ภารกิจ M03 คารองต็อง,230010
230030,"So, who do you think it was?",แล้วคุณล่ะคิดว่าเป็นใคร?,บทพูด/ภารกิจ M03 คารองต็อง,230030
230040,"I don’t know.  Ruffing, maybe?  ",ฉันไม่รู้. Ruffing อาจจะ?,บทพูด/ภารกิจ M03 คารองต็อง,230040
230041,"Hey Lewis, aren’t you a lefty too? Heh heh",เฮ้ ลูอิส แกก็ถนัดซ้ายเหมือนกันไม่ใช่เหรอวะ? ฮ่าๆๆ,บทพูด/ภารกิจ M03 คารองต็อง,230041
230050,I love a man with conviction.,ฉันชอบคนมั่นใจในตัวเองว่ะ,บทพูด/ภารกิจ M03 คารองต็อง,230050
230060,"Well hell, I don’t know!  My kid brother would though.  He’s a damned baseball encyclopedia.",บัดซบ ข้าก็ไม่รู้เหมือนกัน! แต่น้องชายข้ารู้แน่ มันเป็นสารานุกรมเบสบอลเดินได้เลยล่ะ,บทพูด/ภารกิจ M03 คารองต็อง,230060
230070,I guess being dull runs in the family!,สงสัยความทื่อคงถ่ายทอดกันทางสายเลือดสินะ!,บทพูด/ภารกิจ M03 คารองต็อง,230070
230071,Ain't that right!,มันใช่เลยล่ะ!,บทพูด/ภารกิจ M03 คารองต็อง,230071
230083,"Alright pipe down and spread out... and keep your eyes open people, we're entering enemy territory",เอาล่ะ เงียบปากแล้วกระจายกำลังออกไป... คอยเปิดตาดูให้ดีทุกคน เรากำลังเข้าสู่เขตข้าศึกแล้ว,บทพูด/ภารกิจ M03 คารองต็อง,230083
230091,The café!,คาเฟ่!,บทพูด/ภารกิจ M03 คารองต็อง,230091
230110,MG42! Second floor!,เอ็มจี42! ชั้นสอง!,บทพูด/ภารกิจ M03 คารองต็อง,230110
230120,"Shelby get that B.A.R going, keep their heads down!",เชลบี ยิงปืน B.A.R กดหัวพวกมันไว้เร็ว!,บทพูด/ภารกิจ M03 คารองต็อง,230120|230121
230130,Find some cover... were taking enfilade fire!,หาที่กำบังเร็ว... เรากำลังโดนแนวยิงกวาดตามยาว!,บทพูด/ภารกิจ M03 คารองต็อง,230130|230131
230140,Move it Damn it!,ไปเร็วเข้า บัดซบเอ๊ย!,บทพูด/ภารกิจ M03 คารองต็อง,230140|230141
230150,"They’ve sighted the road, take cover!",พวกมันเล็งศูนย์ปืนคุมถนนไว้แล้ว หาที่กำบังเร็ว!,บทพูด/ภารกิจ M03 คารองต็อง,230150|230151
230160,Get some suppressing fire going!,ยิงกดหัวพวกมันไว้หน่อย!,บทพูด/ภารกิจ M03 คารองต็อง,230160|230161
230170,Don't stop don't stop - keep moving up!,อย่าหยุด อย่าหยุด - รุกคืบขึ้นไปเรื่อยๆ!,บทพูด/ภารกิจ M03 คารองต็อง,230170|230171
230240,Off the road!  They got us pinned!,ออกจากถนนเร็ว! พวกมันยิงตรึงเราไว้แล้ว!,บทพูด/ภารกิจ M03 คารองต็อง,230240
230250,Get to the intersection!,มุ่งหน้าไปที่สี่แยก!,บทพูด/ภารกิจ M03 คารองต็อง,230250
230260,Use that building to the left to cover our advance!,ใช้อาคารทางซ้ายนั่นกำบังการรุกคืบของเรา!,บทพูด/ภารกิจ M03 คารองต็อง,230260
230270,Get Satchel Charges in that building!,เอาระเบิดแรงสูงปาเข้าไปในอาคารนั่น!,บทพูด/ภารกิจ M03 คารองต็อง,230270
230280,Yeah! Smoke ‘em out!,ใช่แล้ว! รมควันเป่าพวกมันให้กระเจิง!,บทพูด/ภารกิจ M03 คารองต็อง,230280
230290,"Sarge, tell HQ the road to Carentan is open and we’re proceeding into town.",จ่าครับ แจ้งกองบัญชาการว่าถนนสู่คาเรนตันเปิดแล้ว และเรากำลังรุกคืบเข้าสู่ตัวเมือง,บทพูด/ภารกิจ M03 คารองต็อง,230290
230300,OK the church is our objective.,โอเค โบสถ์คือเป้าหมายของเรา,บทพูด/ภารกิจ M03 คารองต็อง,230300
230310,"If our Intel is right, there’s going to be Kraut MGs defending it.",ถ้าข่าวกรองของเราถูกต้อง จะมีปืนกลเยอรมันตั้งรับอยู่ที่นั่น,บทพูด/ภารกิจ M03 คารองต็อง,230310
230320,We can expect some pretty heavy fire coming from these locations:,เราอาจต้องเจอกับการระดมยิงอย่างหนักจากตำแหน่งเหล่านี้:,บทพูด/ภารกิจ M03 คารองต็อง,230320
230321,Use Satchel Charges or heavy weapons to blow these buildings,ใช้ระเบิดแรงสูงหรืออาวุธหนักเพื่อระเบิดอาคารเหล่านี้,บทพูด/ภารกิจ M03 คารองต็อง,230321
230330,Let's use the buildings to cover our advance and try to flank the Germans. Understood?,ใช้อาคารกำบังการรุกคืบของเรา และพยายามเข้าตีโอบพวกเยอรมัน เข้าใจไหม?,บทพูด/ภารกิจ M03 คารองต็อง,230330
230340,"Once we have eliminated all resistance and occupied the church, we can establish a Field Barracks.",เมื่อเรากำจัดการต่อต้านทั้งหมดและยึดโบสถ์ได้แล้ว เราจะสามารถตั้งค่ายทหารสนามได้,บทพูด/ภารกิจ M03 คารองต็อง,230340
230350,This will allow us to call in reinforcements.,นี่จะทำให้เราสามารถเรียกกำลังเสริมได้,บทพูด/ภารกิจ M03 คารองต็อง,230350
230360,"Remember, keep moving and let’s take that church as fast as possible.",จำไว้ เดินหน้าต่อไปเรื่อยๆ แล้วยึดโบสถ์นั้นให้เร็วที่สุด,บทพูด/ภารกิจ M03 คารองต็อง,230360
230389,"OK you heard the man, let's secure that Church",โอเค ได้ยินผู้กองสั่งแล้วนะ ไปยึดโบสถ์นั่นกันเลย,บทพูด/ภารกิจ M03 คารองต็อง,230389
230390,We’re taking fire from those buildings!,เรากำลังถูกยิงจากอาคารพวกนั้น!,บทพูด/ภารกิจ M03 คารองต็อง,230390
230400,Bring up the Recoilless Rifles!,เอาปืนไรเฟิลไร้แรงสะท้อนถอยหลังขึ้นมา!,บทพูด/ภารกิจ M03 คารองต็อง,230400
230410,Use grenades...,ใช้ระเบิดมือ...,บทพูด/ภารกิจ M03 คารองต็อง,230410
230420,Where’s the Satchel Charges?!?,ระเบิดแรงสูงอยู่ที่ไหนวะ?!?,บทพูด/ภารกิจ M03 คารองต็อง,230420
230430,LET'S GO!,ไปกันเลย!,บทพูด/ภารกิจ M03 คารองต็อง,230430
230440,Call in reinforcements!,เรียกกำลังเสริม!,บทพูด/ภารกิจ M03 คารองต็อง,230440
230450,Let’s get some backup! ,ขอกำลังเสริมด่วน!,บทพูด/ภารกิจ M03 คารองต็อง,230450
230460,"Alright Men, This Is It!",เอาล่ะทุกคน ถึงเวลาแล้ว!,บทพูด/ภารกิจ M03 คารองต็อง,230460
230470,Take that church!,ยึดโบสถ์นั่นซะ!,บทพูด/ภารกิจ M03 คารองต็อง,230470
230480,Garrison this church - on the double!,เข้าประจำการในโบสถ์นี้ — เร็วเข้า!,บทพูด/ภารกิจ M03 คารองต็อง,230480
230481,MG42 by the Church! Flank that position. ,มีปืนกล MG42 อยู่ข้างโบสถ์! ตีโอบตำแหน่งนั้นซะ,บทพูด/ภารกิจ M03 คารองต็อง,230481
230490,Counter-attack!,ข้าศึกตีโต้!,บทพูด/ภารกิจ M03 คารองต็อง,230490
230500,"Wake up people, counterattack!",ตื่นตัวไว้ทุกคน ข้าศึกตีโต้เข้ามาแล้ว!,บทพูด/ภารกิจ M03 คารองต็อง,230500
230510,Anti-tank gun!,ปืนต่อสู้รถถัง!,บทพูด/ภารกิจ M03 คารองต็อง,230510
