id,english,thai,context,all_ids
330001,Hi Taggart,สวัสดีแทกการ์ต,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330001
330002,"Hey listen, Conti, sorry about MacKay.",เฮ้ ฟังนะ คอนติ ขอโทษเรื่องแม็คเคย์ด้วย,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330002
330003,"Try and get some R&R on this hill, should be a piece of cake.",ลองหา R&R บนเนินเขานี้ดูสิ น่าจะเป็นงานหมู ๆ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330003
330004,"Taggart, Let's go.",แทกการ์ต ไปกันเถอะ,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330004
330005,Franks! This hole ain’t gonna dig itself!,แฟรงค์! หลุมนี้จะขุดเองไม่ได้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330005
330006,Get your ass over here!,มานี่เดี๋ยวนี้เลย!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330006
330007,I heard you guys served together since boot camp back in Kansas...,ฉันได้ยินมาว่าพวกคุณรับใช้ด้วยกันตั้งแต่ค่ายฝึกในแคนซัส...,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330007
330010,"Hey, can you see something out there?",เฮ้ คุณเห็นอะไรบางอย่างข้างนอกนั่นไหม?,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330010
330011,I thought I saw something...,ฉันคิดว่าฉันเห็นอะไรบางอย่าง...,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330011
330012,CONTACT!!!,ติดต่อ!!!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,330012
338100,Hold the line! We got krauts on our hill!,รักษาแนวรบไว้! พวกเยอรมันขึ้นมาบนเนินเราแล้ว!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338100
338101,Fritz is on our hill! Hold them back!,ฟริตซ์ขึ้นบนเนินเราแล้ว! ยันพวกมันไว้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338101
338110,Incoming! To the trenches! We gotta hold this hill!,กำลังมา! สู่สนามเพลาะ! เราต้องยึดเนินเขานี้ไว้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338110
338120,We got incoming! Hold the line!,ข้าศึกบุกมา! รักษาแนวรบไว้!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338120
338130,"When the shelling stops, prepare for a counterattack.",เมื่อกระสุนหยุด ให้เตรียมการตอบโต้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338130
338140,They're coming! Another wave! Ready defense!,พวกเขากำลังมา! ระลอกอีก! พร้อมป้องกัน!,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338140
338941,"Well, so much for the cake-walk. We have elements of the 2nd Panzer division moving in.  ",จบกันเรื่องงานง่าย ๆ เราเห็นกำลังของกองพลยานเกราะที่ 2 กำลังเคลื่อนเข้ามา,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338941
338942,Our secondary objective is to hold the town of Mortain.,วัตถุประสงค์รองของเราคือตรึงเมืองมอร์แต็ง ไว้,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338942
338943,"If we lose Mortain, we'll be completely surrounded.",ถ้าเราสูญเสียมอร์แต็ง เราจะถูกล้อมรอบอย่างสมบูรณ์,บทพูด/ภารกิจ M14 มอร์แตงโต้กลับ,338943
