id,english,thai,context,all_ids
800501,40,40,เสียงพากย์: ตัวเลขเสียง,800501
800511,30,30,เสียงพากย์: ตัวเลขเสียง,800511
801779,99999,99999,เสียงพากย์: ตัวเลขเสียง,801779|801781|801783|801879|801881|801883
801789,$801789 No Key,$801789 No Key,เสียงพากย์: ตัวเลขเสียง,801789|801889
801793,%1NUMBERRATE%x,%1NUMBERRATE%x,เสียงพากย์: ตัวเลขเสียง,801793
801794,Fog of War,หมอกสงคราม,เสียงพากย์: ตัวเลขเสียง,801794|801910
801810,Taskbar,แถบงาน,เสียงพากย์: ตัวเลขเสียง,801810|801894
801814,1000,1000,เสียงพากย์: ตัวเลขเสียง,801814|801815|801914|801915
801820,Capacity 3/4,ความจุ 3/4,เสียงพากย์: ตัวเลขเสียง,801820|801920
801822,Cinematic Mode,โหมดภาพยนตร์,เสียงพากย์: ตัวเลขเสียง,801822|801899
801825,Usage text goes here.,ข้อความการใช้งานอยู่ที่นี่,เสียงพากย์: ตัวเลขเสียง,801825|801925
801829,Level XX,ระดับ XX,เสียงพากย์: ตัวเลขเสียง,801829|801929
801830,Durability,ความทนทาน,เสียงพากย์: ตัวเลขเสียง,801830|801930
801831,9 999 999,9 999 999,เสียงพากย์: ตัวเลขเสียง,801831|801834|801836|801931|801934|801936
801832,Left Score,คะแนนฝั่งซ้าย,เสียงพากย์: ตัวเลขเสียง,801832|801932
801833,Right Score,คะแนนฝั่งขวา,เสียงพากย์: ตัวเลขเสียง,801833|801933
801835,Single Score,คะแนนเดียว,เสียงพากย์: ตัวเลขเสียง,801835|801935
801893,$801793 No Key,$801793 No Key,เสียงพากย์: ตัวเลขเสียง,801893
802000,PROPAGANDA,โฆษณาชวนเชื่อ,เสียงพากย์: ตัวเลขเสียง,802000|806797|6901257|6901345
802001,Are you sure you want to choose this company for your commander?,คุณแน่ใจหรือไม่ว่าต้องการเลือกกองร้อยนี้สำหรับผู้บังคับการของคุณ?,เสียงพากย์: ตัวเลขเสียง,802001
802002,STORMTROOPER SUPPORT,การสนับสนุนสตอร์มทรูเปอร์,เสียงพากย์: ตัวเลขเสียง,802002|806788|6901264|6901336
802006,Commander Tree Branch Label Help Text,ข้อความช่วยเหลือสายบัญชาการ,เสียงพากย์: ตัวเลขเสียง,802006|806801|6901365
802009,Preview,ดูตัวอย่าง,เสียงพากย์: ตัวเลขเสียง,802009|806809|6901375
802012,REINFORCEMENTS,การเสริมกำลัง,เสียงพากย์: ตัวเลขเสียง,802012|806772|6901296|6901320
802013,TREE NAME,ชื่อสายบัญชาการ,เสียงพากย์: ตัวเลขเสียง,802013|806800|806808|6901364|6901374
802016,DEFENSIVE,การป้องกัน,เสียงพากย์: ตัวเลขเสียง,802016|806773|6901297|6901321
802018,ARMORED SUPPORT,การสนับสนุนยานเกราะ,เสียงพากย์: ตัวเลขเสียง,802018|806764|6901280|6901312
802021,LOGISTICS,โลจิสติกส์,เสียงพากย์: ตัวเลขเสียง,802021|806765|6901281|6901313
802022,ASSAULT,การโจมตี,เสียงพากย์: ตัวเลขเสียง,802022|806789|6901265|6901337
802023,HERO SUPPORT,การสนับสนุนฮีโร่,เสียงพากย์: ตัวเลขเสียง,802023|806796|6901256|6901344
802024,ARTILLERY SUPPORT,การสนับสนุนปืนใหญ่,เสียงพากย์: ตัวเลขเสียง,802024|806781|6901272|6901329
802060,BASE DEFENSIVES,การป้องกันฐาน,เสียงพากย์: ตัวเลขเสียง,802060|806780|6901273|6901328
802061,AIR DROPS,การส่งกำลังทางอากาศ,เสียงพากย์: ตัวเลขเสียง,802061|806756|6901288|6901304
802063,AIR SUPPORT,การสนับสนุนทางอากาศ,เสียงพากย์: ตัวเลขเสียง,802063|806757|6901289|6901305
802251,PRIMARY OBJECTIVES,วัตถุประสงค์หลัก,เสียงพากย์: ตัวเลขเสียง,802251
802252,SECONDARY OBJECTIVES,วัตถุประสงค์รอง,เสียงพากย์: ตัวเลขเสียง,802252
802253,MEDAL OBJECTIVE,วัตถุประสงค์เหรียญตรา,เสียงพากย์: ตัวเลขเสียง,802253
802254,You have been Defeated,คุณพ่ายแพ้,เสียงพากย์: ตัวเลขเสียง,802254
802255,You are Victorious,คุณได้รับชัยชนะ,เสียงพากย์: ตัวเลขเสียง,802255
802256,Custom message,ข้อความที่กำหนดเอง,เสียงพากย์: ตัวเลขเสียง,802256
802257,Restart this Mission,เริ่มภารกิจนี้อีกครั้ง,เสียงพากย์: ตัวเลขเสียง,802257
802270,Load a New Mission,โหลดภารกิจใหม่,เสียงพากย์: ตัวเลขเสียง,802270
802350,+99,+99,เสียงพากย์: ตัวเลขเสียง,802350|806000
802353,al that your teammates can see,สัญญาณที่เพื่อนร่วมทีมของคุณมองเห็นได้,เสียงพากย์: ตัวเลขเสียง,802353
802354,We'll need reinforcements before we make our push. Our supply is pretty limited now - we can improve it by securing the strategic points around the church,เราต้องการกำลังเสริมก่อนจะเริ่มเข้าตี ตอนนี้ซัพพลายเรามีจำกัดมาก — เราสามารถเพิ่มซัพพลายได้โดยการยึดจุดยุทธศาสตร์รอบๆ โบสถ์,เสียงพากย์: ตัวเลขเสียง,802354|803755|806004
802355,This option creates a Defend Here! signal that your teammates can see. ,"ตัวเลือกนี้จะส่งสัญญาณ ""ป้องกันที่นี่!"" ให้เพื่อนร่วมทีมของคุณเห็น",เสียงพากย์: ตัวเลขเสียง,802355
802356,signal that your teammates can see,สัญญาณที่เพื่อนร่วมทีมของคุณสามารถมองเห็นได้,เสียงพากย์: ตัวเลขเสียง,802356
802361,$806011 No Key,$806011 No Key,เสียงพากย์: ตัวเลขเสียง,802361|806011
802362,$806013 No Key,$806013 No Key,เสียงพากย์: ตัวเลขเสียง,802362|806012
802363,$806012 No Key,$806012 No Key,เสียงพากย์: ตัวเลขเสียง,802363|806013
802364,$806014 No Key,$806014 No Key,เสียงพากย์: ตัวเลขเสียง,802364|806014
802366,This option creates a Attack Here! signal that your teammates can see,"ตัวเลือกนี้จะส่งสัญญาณ ""โจมตีที่นี่!"" ให้เพื่อนร่วมทีมของคุณเห็น",เสียงพากย์: ตัวเลขเสียง,802366|806016
802367,Stop playing the Situation Report,หยุดเล่นรายงานสถานการณ์,เสียงพากย์: ตัวเลขเสียง,802367|806017
802369,Play the Situation Report,เล่นรายงานสถานการณ์,เสียงพากย์: ตัวเลขเสียง,802369|806019
802810,0.207638888888889,0.207638888888889,เสียงพากย์: ตัวเลขเสียง,802810|802811
803760,This option creates a Attack Here! signal that your teammates can see.,"ตัวเลือกนี้จะส่งสัญญาณ ""โจมตีที่นี่!"" ให้เพื่อนร่วมทีมของคุณเห็น",เสียงพากย์: ตัวเลขเสียง,803760|808268
803763,Return to the Game,กลับไปที่เกม,เสียงพากย์: ตัวเลขเสียง,803763|806515
806256,+30,+30,เสียงพากย์: ตัวเลขเสียง,806256|808006
806262,69,69,เสียงพากย์: ตัวเลขเสียง,806262|806263|808012|808013
806805,Choose this company for your commander?,เลือกกองร้อยนี้สำหรับผู้บังคับการของคุณ?,เสียงพากย์: ตัวเลขเสียง,806805|6901369
806813,Select this Branch,เลือกสายนี้,เสียงพากย์: ตัวเลขเสียง,806813|6901373
806814,Return to the Commander Branch,กลับไปที่สายบัญชาการ,เสียงพากย์: ตัวเลขเสียง,806814|6901371
806821,TANK HUNTER,นักล่ารถถัง,เสียงพากย์: ตัวเลขเสียง,806821
806822,TANK DESTROYER,ยานพิฆาตรถถัง,เสียงพากย์: ตัวเลขเสียง,806822
806829,AIRPOWER,กำลังทางอากาศ,เสียงพากย์: ตัวเลขเสียง,806829
806830,AIR DEFENSE,การป้องกันทางอากาศ,เสียงพากย์: ตัวเลขเสียง,806830
806837,AREA DENIAL,การปฏิเสธพื้นที่,เสียงพากย์: ตัวเลขเสียง,806837
806838,SCORCHED EARTH,ยุทธการเผาทำลาย,เสียงพากย์: ตัวเลขเสียง,806838
806845,FIELD IMPROVEMENTS,การปรับปรุงสนามรบ,เสียงพากย์: ตัวเลขเสียง,806845
806846,TANK SUPPORT,การสนับสนุนรถถัง,เสียงพากย์: ตัวเลขเสียง,806846
806853,COUP DE MAIN,การโจมตีสายฟ้าแลบ,เสียงพากย์: ตัวเลขเสียง,806853
806854,INTELLIGENCE,หน่วยข่าวกรอง,เสียงพากย์: ตัวเลขเสียง,806854
806861,BARRAGE,การระดมยิงปืนใหญ่,เสียงพากย์: ตัวเลขเสียง,806861
806862,CONCENTRATION,การรวมกำลังพล,เสียงพากย์: ตัวเลขเสียง,806862
808252,$808252 No Key,$808252 No Key,เสียงพากย์: ตัวเลขเสียง,808252
808253,Play the sitrep for the selected objective.,เล่นรายงานสถานการณ์ สำหรับเป้าหมายที่เลือก,เสียงพากย์: ตัวเลขเสียง,808253
808254,Stop sitrep playback.,หยุดเล่นรายงานสถานการณ์,เสียงพากย์: ตัวเลขเสียง,808254
808265,Return to Game,กลับเข้าสู่เกม,เสียงพากย์: ตัวเลขเสียง,808265
809001,Continue to Post Game Statistics,ไปที่หน้ารายงานสถิติหลังจบเกม,เสียงพากย์: ตัวเลขเสียง,809001
6901358,Loader Schütze Litzke,พลบรรจุกระสุน ชึทเซอ ลิทซ์เก้,เสียงพากย์: ตัวเลขเสียง,6901358
6901359,Radio Op. Schütze Berndt,พลวิทยุ ชึทเซอ แบร์นดท์,เสียงพากย์: ตัวเลขเสียง,6901359
6901360,Gunner Feldwebel Shultz ,พลปืน จ่าสิบเอกชูลทซ์,เสียงพากย์: ตัวเลขเสียง,6901360
6901361,Driver Oberschütze Schroif,พลขับ พลทหารอาวุโสชรอยฟ์,เสียงพากย์: ตัวเลขเสียง,6901361
