id,english,thai,context,all_ids
90000,The Squad will throw a Model 24 Stielgranate.,ทีมจะขว้างโมเดล 24 สติลกราเนต,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90000|2090000
90051,105mm Howitzer Barrage,กระสุนปืนครกฮาวอิตเซอร์ 105 มม,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90051
90100,Suppression Fire,การยิงกดดัน,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90100|106701|2090100|2106701
90101,Suppression Fire can pin Enemy Troops.,การยิงกดดัน สามารถยิงตรึงทหารศัตรูได้,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90101|106700|2090101|2106700
90102,Left-click icon to initiate Suppression Fire.,คลิกซ้ายที่ไอคอนเพื่อเริ่มการยิงยิงกดดันตรึงพื้นที่,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90102|90950|106703|2090102|2090950|2106703
90151,Airborne Infantry,ทหารพลร่ม,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90151|97153|97250|97300|97350|97400|97450|97500|97550
90201,Repair,ซ่อมแซม,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90201|1319410|2090201|2246951
90202,Left-click icon and then Left-click target.,ไอคอนคลิกซ้าย จากนั้นคลิกซ้ายเป้าหมาย,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90202|118853|132050|2090202|2118853|2132050
90250,A small Reinforcement Division is available.,มีกองเสริมกำลังขนาดเล็ก,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90250|97100|166650|2090151|2097101|2133001|2166650
90251,Call in Reinforcements,เรียกกำลังเสริมเข้ามา,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90251
90301,Throw Grenade,ขว้างระเบิดมือ,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90301|409271|2090301
90351,Fire-Up,วิ่งฮึกเหิม,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90351|2090351
90352,Left-click icon to Fire-Up Squad.,คลิกซ้ายที่ไอคอนเพื่อ Fire-Up Squad,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90352|2090352
90451,Camouflage,พรางตัว,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90451
90452,Left-click to toggle Camouflage stance.,คลิกซ้ายเพื่อสลับท่าทางพรางตัว,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90452|2090452
90500,.30 cal Machine Gun,ปืนกล .30 แคล,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90500|124750|2124750
90551,Wehrmacht Quarters,ย่านแวร์มัคท์,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90551|2090551
90600,Supply Drops,อุปทานลดลง,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90600|155251|2090600|2155251
90650,Heroic Charge,ชาร์จฮีโร่,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90650|2090650|2241550|2241600|2246651
90652,Area of Effect,พื้นที่ได้รับผลกระทบ,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90652|2090652
90653,Left-click to activate.,คลิกซ้ายเพื่อเปิดใช้งาน,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90653|111302|113052|115701|116702|119702|129102|129753|2090653|2111302|2113052|2115701|2116702|2119702|2129102|2129753
90700,Fuel Point Low,จุดเชื้อเพลิงต่ำ,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90700|2090700
90701,Generate more Fuel by securing this Point.,สร้างเชื้อเพลิงมากขึ้นโดยรักษาจุดนี้ไว้,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90701|2090701
90850,M3 Halftrack,M3 ฮาล์ฟแทร็ก,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90850|92301|2091652|2091752|2136450|2151800|2151850|2152601
90900,Heavy Machine Gun Team,ทีมงานปืนกลหนัก,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90900|91100|91650|91700|102101|103251|104101|152051|409264|2090900|2091100|2091700|2103251|2104101|2136850|2136900|2143302|2152051|2153600|2153650|2200101|2204352
90902,Reinforce Weapon,เติมพลประจำอาวุธ,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,90902|91103|91252|95552|95652|95702|95852|99852
91000,P47 Thunderbolt,P47 สายฟ้า,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,91000|91150|91200|2091000|2091150|2091200
91050,M1 57mm Anti Tank Gun,ปืนต่อต้านรถถัง M1 57มม,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,91050
91250,Mortar Team,ทีมครก,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,91250|91750|91800|99850|104151|104201|152100|2091250|2091800|2099850|2104201|2136950|2137000|2137050|2144552|2152100|2154250|2200151|2204302
91301,Logistik Kompanie,Logistik Kompanie,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,91301|110550|2091301|2110550
91350,Pak 38 50mm Anti Tank Gun,ปืนต่อต้านรถถัง Pak 38 50mm,ยูนิต: ชื่อหน่วย/อาวุธ/อาคาร/สกิล,91350|91500|91950|98450|98500
